,Layer,Prostatitis nodes,Pneumonia nodes,sAB
0,coex_KDN,35,36,-0.4808238318801701
1,coex_BST,19,23,-0.2521216869042955
2,coex_OVR,15,28,-0.447274517041959
3,coex_LNG,30,35,0.1657509157509156
4,coex_ITI,28,31,-0.2589822697805202
5,coex_VGN,18,22,-0.2572672425613598
6,coex_HRV,21,31,-0.6157635467980294
7,coex_MSG,30,38,-0.35464396284829713
8,coex_ADV,24,35,-0.481077694235589
9,coex_EMS,16,26,-0.47115384615384626
10,coex_SMU,16,23,-0.27982162764771457
11,coex_ARG,21,22,-0.37274740763112857
12,coex_TST,23,25,-0.33630434782608676
13,coex_PIT,25,33,-0.21968652037617553
14,coex_LVR,30,32,-0.36354166666666665
15,coex_THY,26,23,0.044996928537301306
16,coex_PNC,22,26,-0.6202556308939287
17,coex_ATC,17,26,-0.062480269388614174
18,coex_BRO,28,35,-0.426873536299766
19,coex_SKN,18,23,0.17479674796747924
20,coex_ADS,18,24,-0.1954365079365079
21,coex_GEJ,18,30,-0.5726419878296145
22,coex_BRB,17,28,-0.3839285714285716
23,coex_UTR,14,17,0.3586309523809521
24,coex_STM,25,31,-0.053596176821983255
25,coex_HRA,23,25,-0.012173913043478368
26,coex_PRS,24,28,-0.40521978021978033
27,coex_ATA,19,26,-0.29941520467836225
28,coex_FIB,23,26,-0.46713534912292665
29,coex_BRC,23,24,-0.17422139993832886
30,coex_ATT,14,24,-0.07518796992481169
31,coex_TNV,12,24,-0.2013888888888884
32,coex_SPL,26,23,-0.07661593065319794
33,coex_LCL,17,16,-0.06634358288770059
34,coex_CLS,21,24,-0.090549775601795
35,coex_EMC,18,27,-0.3572984749455337
36,coex_CLT,24,29,-0.12488095238095243
37,coex_core,32,34,-0.240158428962983
38,coex_WBL,26,30,-0.09230769230769242
39,co-essential,7,9,0.7158119658119659
40,GOBP,18,12,0.008620689655172598
41,ppi,50,50,-0.16999999999999993
42,reactome_copathway,16,25,0.5131410256410256
43,MP,16,11,-0.043333333333333446
44,HP,19,12,-0.03275325410299956
45,GI_net,18,22,-0.09061624649859934
46,gene_gene_on_CbG_name_mapped,14,14,-0.2142857142857142
47,gene_gene_on_GcG_name_mapped,31,29,-0.26371894697812404
48,GOMF,5,2,
