,Layer,Seizure nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,38,39,0.038316946211683245
1,coex_BST,27,29,0.4172368180988868
2,coex_OVR,29,30,0.26037507562008466
3,coex_LNG,38,25,0.47147540983606584
4,coex_ITI,34,42,0.15044965354562878
5,coex_VGN,33,37,0.15056745056745058
6,coex_HRV,18,28,0.2454948646125117
7,coex_MSG,36,40,0.13070175438596499
8,coex_ADV,30,29,0.9158484317163453
9,coex_EMS,32,31,0.22624327956989276
10,coex_SMU,33,21,0.4254449254449253
11,coex_ARG,33,28,0.20580196639518666
12,coex_TST,42,34,0.166703523514669
13,coex_PIT,42,35,0.12406015037593976
14,coex_LVR,30,30,0.46666666666666656
15,coex_THY,28,32,0.48653017241379315
16,coex_PNC,36,26,0.3334624392001442
17,coex_ATC,34,33,0.22327533455716075
18,coex_BRO,41,35,0.23386209426004023
19,coex_SKN,38,34,0.2817337461300309
20,coex_ADS,25,28,0.46738095238095223
21,coex_GEJ,33,32,0.24794969928922894
22,coex_BRB,32,29,0.5286708592425098
23,coex_UTR,26,16,0.12660256410256432
24,coex_STM,34,38,0.3215084279325764
25,coex_HRA,34,27,0.25244651594699796
26,coex_PRS,29,34,0.12320021281548232
27,coex_ATA,31,32,0.8669034818228369
28,coex_FIB,28,17,-0.030844155844155896
29,coex_BRC,43,29,0.18497727880245907
30,coex_ATT,34,33,0.2301136363636367
31,coex_TNV,23,24,0.6228029602220166
32,coex_SPL,38,26,0.08720778372730775
33,coex_LCL,23,15,0.41932367149758454
34,coex_CLS,33,39,0.4903719468936858
35,coex_EMC,29,34,0.23079515960494823
36,coex_CLT,34,38,0.20489336085311316
37,coex_core,34,38,0.153293773649811
38,coex_WBL,29,18,0.589936414771338
39,co-essential,9,3,-0.49999999999999956
40,GOBP,15,26,0.3901942355889725
41,ppi,48,45,0.18378136200716844
42,reactome_copathway,20,6,0.06052631578947354
43,MP,10,17,-0.8876811594202896
44,HP,35,18,0.2485060690943044
45,GI_net,22,11,-0.09347943722943697
46,gene_gene_on_CbG_name_mapped,15,9,0.1499999999999999
47,gene_gene_on_GcG_name_mapped,39,32,0.06042908089563026
48,GOMF,3,8,
