,Layer,Celiac_disease nodes,Dystonic_disorder nodes,sAB
0,coex_KDN,30,45,0.4311111111111112
1,coex_BST,15,38,0.7391729323308269
2,coex_OVR,19,41,0.12017132883193238
3,coex_LNG,29,40,0.7644957983193277
4,coex_ITI,29,47,0.39192763640576134
5,coex_VGN,21,46,0.621589258675566
6,coex_HRV,16,20,0.37142857142857144
7,coex_MSG,26,42,0.252262443438914
8,coex_ADV,14,38,0.4865735767991408
9,coex_EMS,14,42,0.4304719670573327
10,coex_SMU,17,41,0.5836749333879894
11,coex_ARG,12,45,0.8063131313131313
12,coex_TST,23,49,0.6703145026126394
13,coex_PIT,21,41,0.38734030197444835
14,coex_LVR,19,41,0.3726572528883185
15,coex_THY,21,33,1.1849446849446852
16,coex_PNC,25,42,0.8125
17,coex_ATC,22,43,0.6978533094812165
18,coex_BRO,24,43,0.5076308139534884
19,coex_SKN,21,42,0.41269841269841256
20,coex_ADS,20,24,1.0166666666666666
21,coex_GEJ,17,44,0.5364168121137789
22,coex_BRB,19,19,-0.08633633633633675
23,coex_UTR,10,36,0.6809178743961355
24,coex_STM,25,45,0.4349206349206347
25,coex_HRA,18,43,0.2867067402443828
26,coex_PRS,18,39,0.3568795039383277
27,coex_ATA,26,34,1.2042787720753823
28,coex_FIB,13,38,0.6052234659045808
29,coex_BRC,20,42,0.5205837173579106
30,coex_ATT,20,40,1.0666666666666669
31,coex_TNV,18,11,0.48316498316498313
32,coex_SPL,28,41,0.43546415856315424
33,coex_LCL,14,38,0.2844272844272844
34,coex_CLS,17,45,0.24895635673624295
35,coex_EMC,27,38,0.8272069061542746
36,coex_CLT,21,47,0.4918466179739598
37,coex_core,34,46,0.9061125319693093
38,coex_WBL,29,41,0.5443897491713257
39,co-essential,4,14,0.18846153846153868
40,GOBP,20,18,1.1878787878787875
41,ppi,50,50,0.15999999999999992
42,reactome_copathway,17,12,0.9219696969696969
43,MP,22,16,1.1277056277056277
44,HP,17,33,1.0115864527629235
45,GI_net,13,25,-0.09797570850202453
46,gene_gene_on_CbG_name_mapped,8,11,0.504784688995215
47,gene_gene_on_GcG_name_mapped,30,32,0.014616935483870996
48,GOMF,13,6,
