,Layer,Stroke_disorder nodes,Angioedema nodes,sAB
0,coex_KDN,42,44,-0.13170079561758175
1,coex_BST,21,19,0.9101503759398497
2,coex_OVR,28,24,0.15509259259259256
3,coex_LNG,37,31,0.2825937878176683
4,coex_ITI,37,33,-0.018170118170118155
5,coex_VGN,30,32,-0.005745967741935587
6,coex_HRV,29,21,0.3955137227304717
7,coex_MSG,38,31,0.19049112964740034
8,coex_ADV,28,25,0.6767366946778712
9,coex_EMS,22,23,0.3312911725955203
10,coex_SMU,24,30,0.07499999999999996
11,coex_ARG,22,22,0.5617147080561717
12,coex_TST,32,29,0.060910118711136274
13,coex_PIT,34,26,-0.11581369948509912
14,coex_LVR,40,39,0.038214053878610876
15,coex_THY,27,24,0.1393206111876184
16,coex_PNC,28,24,0.21062271062271076
17,coex_ATC,31,24,0.13343108504398815
18,coex_BRO,33,27,0.09276094276094282
19,coex_SKN,31,33,0.02736742424242422
20,coex_ADS,31,28,0.0665371397328749
21,coex_GEJ,32,27,0.2483145587984299
22,coex_BRB,29,22,-0.0376021882107076
23,coex_UTR,15,12,0.2527777777777773
24,coex_STM,34,32,0.3452540106951869
25,coex_HRA,30,28,0.18253043253043222
26,coex_PRS,31,26,0.225915750915751
27,coex_ATA,32,25,0.13591008771929847
28,coex_FIB,20,19,0.18421052631578894
29,coex_BRC,31,21,0.20955925794635455
30,coex_ATT,32,29,-0.03620006635052597
31,coex_TNV,28,23,0.13942734284349223
32,coex_SPL,31,36,-0.22673611111111125
33,coex_LCL,8,11,0.4314839572192515
34,coex_CLS,30,31,0.34350998463901705
35,coex_EMC,30,31,-0.0661846496106786
36,coex_CLT,27,33,-0.05336700336700351
37,coex_core,39,39,0.28205128205128216
38,coex_WBL,32,28,0.2483630952380953
39,co-essential,7,3,1.7428571428571424
40,GOBP,16,30,-0.3046491228070174
41,ppi,49,50,-0.1315708101422386
42,reactome_copathway,25,20,0.1494288045695633
43,MP,18,19,-0.6303749570003441
44,HP,20,29,-0.1737156931738213
45,GI_net,13,9,-0.23397435897435903
46,gene_gene_on_CbG_name_mapped,16,16,-0.0625
47,gene_gene_on_GcG_name_mapped,30,29,-0.3071400740307815
48,GOMF,5,8,
