,Layer,Gingivostomatitis nodes,Duodenal_ulcer nodes,sAB
0,coex_KDN,28,36,-0.23134920634920642
1,coex_BST,8,17,0.6050724637681157
2,coex_OVR,13,27,0.46153846153846123
3,coex_LNG,39,36,0.4064350064350064
4,coex_ITI,20,29,0.04539057002111191
5,coex_VGN,15,25,0.09278388278388272
6,coex_HRV,21,23,0.34472049689441
7,coex_MSG,36,33,0.2009771629336845
8,coex_ADV,31,27,0.18112717834631065
9,coex_EMS,11,20,0.018768328445747606
10,coex_SMU,14,15,0.06208791208791187
11,coex_ARG,11,19,1.0505582137161082
12,coex_TST,19,31,-0.15833616298811548
13,coex_PIT,17,27,0.12041083916083917
14,coex_LVR,34,34,0.19117647058823528
15,coex_THY,15,18,0.827777777777778
16,coex_PNC,20,24,-0.03712121212121211
17,coex_ATC,29,25,0.5706100795755968
18,coex_BRO,21,30,-0.03235294117647047
19,coex_SKN,19,23,0.49836547891467786
20,coex_ADS,22,27,0.04308390022675734
21,coex_GEJ,32,28,0.32036644695542993
22,coex_BRB,20,23,-0.0504522175002724
23,coex_UTR,7,15,-0.1547619047619051
24,coex_STM,31,35,0.23707582739840793
25,coex_HRA,21,27,0.3249887539361225
26,coex_PRS,9,25,0.5016666666666669
27,coex_ATA,34,27,0.12755812707596714
28,coex_FIB,6,20,1.405128205128205
29,coex_BRC,13,22,0.8410089910089908
30,coex_ATT,18,23,0.30213903743315473
31,coex_TNV,13,21,0.4613095238095237
32,coex_SPL,37,23,0.1105953779866824
33,coex_LCL,13,16,0.6818744473916889
34,coex_CLS,12,26,0.2991164845384793
35,coex_EMC,31,25,0.2632575757575757
36,coex_CLT,21,24,0.3414414414414413
37,coex_core,36,35,0.37142857142857144
38,coex_WBL,35,32,0.18449197860962552
39,co-essential,1,8,
40,GOBP,18,16,0.7035256410256405
41,ppi,47,49,0.02989759733680697
42,reactome_copathway,20,25,-0.04523809523809508
43,MP,14,7,0.35714285714285676
44,HP,14,16,-0.07738095238095255
45,GI_net,12,21,0.07162756598240483
46,gene_gene_on_CbG_name_mapped,18,16,0.14603758169934644
47,gene_gene_on_GcG_name_mapped,25,28,-0.07874663072776289
48,GOMF,9,7,
