,Layer,Benign_Neonatal_Epilepsy nodes,myoclonic_epilepsy nodes,sAB
0,coex_KDN,29,42,0.412827539952358
1,coex_BST,27,34,0.8754208754208754
2,coex_OVR,18,35,0.4457921533393234
3,coex_LNG,22,41,0.16085066694822814
4,coex_ITI,37,39,0.5554491738702265
5,coex_VGN,37,38,0.5615078236130868
6,coex_HRV,21,14,0.057142857142857384
7,coex_MSG,26,37,0.20797445797445802
8,coex_ADV,22,35,0.5716564137616773
9,coex_EMS,27,36,0.44047619047619024
10,coex_SMU,16,36,0.2721688034188037
11,coex_ARG,29,38,0.45710868079289124
12,coex_TST,35,45,0.2164682539682541
13,coex_PIT,31,41,0.46582961797359923
14,coex_LVR,15,34,0.33795518207282904
15,coex_THY,22,34,0.7604023427552842
16,coex_PNC,31,36,0.2901019098058095
17,coex_ATC,24,38,0.45840407470288635
18,coex_BRO,43,46,0.36795865633074953
19,coex_SKN,28,36,0.6313364055299542
20,coex_ADS,29,31,0.989432703003337
21,coex_GEJ,29,36,0.428174603174603
22,coex_BRB,38,25,0.39327485380116967
23,coex_UTR,17,33,0.5965136054421767
24,coex_STM,32,38,0.3359784454122685
25,coex_HRA,22,35,0.5507290954659374
26,coex_PRS,19,33,0.14476751318856573
27,coex_ATA,21,36,0.5782163742690059
28,coex_FIB,8,32,0.1625000000000001
29,coex_BRC,42,40,0.3182695276319851
30,coex_ATT,22,36,1.016499582289056
31,coex_TNV,30,22,0.48311688311688306
32,coex_SPL,12,36,0.15972222222222232
33,coex_LCL,4,25,0.39296296296296296
34,coex_CLS,36,38,0.44815868500079015
35,coex_EMC,20,36,0.5309523809523811
36,coex_CLT,33,36,0.42933006535947715
37,coex_core,38,39,0.6609092661724238
38,coex_WBL,13,30,0.7584675014907574
39,co-essential,6,7,1.197619047619047
40,GOBP,26,19,1.0465909090909093
41,ppi,50,49,0.02970521541950122
42,reactome_copathway,13,12,0.7272727272727273
43,MP,14,11,0.21666666666666634
44,HP,15,27,0.2042328042328041
45,GI_net,14,16,-0.3250000000000002
46,gene_gene_on_CbG_name_mapped,13,8,0.40956959706959695
47,gene_gene_on_GcG_name_mapped,35,41,0.10432244090780673
48,GOMF,6,8,
