,Layer,Atonic_seizure nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,38,39,0.1537914432651275
1,coex_BST,27,29,0.37588761174968055
2,coex_OVR,22,30,0.18655462184873928
3,coex_LNG,24,25,0.5838945578231289
4,coex_ITI,36,42,0.14652014652014644
5,coex_VGN,30,37,0.23189458114831218
6,coex_HRV,20,28,0.38095238095238093
7,coex_MSG,33,40,0.3237961809879617
8,coex_ADV,26,29,1.164316730523627
9,coex_EMS,21,31,0.5198879551820728
10,coex_SMU,25,21,0.33643892339544523
11,coex_ARG,28,28,0.3571428571428572
12,coex_TST,35,34,0.261167945439045
13,coex_PIT,38,35,-0.002379139703083233
14,coex_LVR,28,30,0.5438834154351393
15,coex_THY,24,32,0.9354125494071148
16,coex_PNC,25,26,0.3497888386123682
17,coex_ATC,29,33,0.3826136784979943
18,coex_BRO,38,35,0.27124317643423623
19,coex_SKN,26,34,0.40029645810578884
20,coex_ADS,27,28,0.8019179894179898
21,coex_GEJ,29,32,0.5223325062034743
22,coex_BRB,31,29,0.6334445680385612
23,coex_UTR,14,16,0.14583333333333348
24,coex_STM,31,38,0.44786053492778244
25,coex_HRA,29,27,0.5937733439359985
26,coex_PRS,24,34,0.41531440162271815
27,coex_ATA,25,32,1.0505952380952386
28,coex_FIB,20,17,-0.07500000000000018
29,coex_BRC,36,29,0.3896035956380781
30,coex_ATT,23,33,0.36940217391304353
31,coex_TNV,22,24,0.8863636363636362
32,coex_SPL,24,26,0.6488461538461539
33,coex_LCL,21,15,0.3285714285714283
34,coex_CLS,30,39,0.5801282051282053
35,coex_EMC,21,34,0.20777587192681546
36,coex_CLT,34,38,0.19973463069438302
37,coex_core,34,38,0.9072657636408563
38,coex_WBL,28,18,0.26656314699792993
39,co-essential,9,3,-0.6780303030303023
40,GOBP,17,26,0.4333333333333331
41,ppi,50,45,0.11730994152046792
42,reactome_copathway,18,6,1.085858585858586
43,MP,12,17,-0.20396270396270388
44,HP,25,18,0.20188630490956072
45,GI_net,18,11,-0.1668408220132358
46,gene_gene_on_CbG_name_mapped,22,9,0.11143695014662747
47,gene_gene_on_GcG_name_mapped,35,32,0.07556636460554378
48,GOMF,7,8,
