,Layer,Low_back_pain nodes,Cerebral_palsy nodes,sAB
0,coex_KDN,38,42,0.18596491228070167
1,coex_BST,24,32,0.125
2,coex_OVR,27,32,-0.01902354111405824
3,coex_LNG,35,38,0.29849832648201824
4,coex_ITI,32,39,0.040064102564102644
5,coex_VGN,29,32,0.015624999999999778
6,coex_HRV,27,19,-0.08644133644133678
7,coex_MSG,35,40,0.09738095238095235
8,coex_ADV,32,28,0.08778216043114906
9,coex_EMS,26,31,0.2512951112271997
10,coex_SMU,26,32,0.08771929824561386
11,coex_ARG,18,32,-0.15104166666666652
12,coex_TST,28,39,0.20331720518287666
13,coex_PIT,31,40,0.2926567469332122
14,coex_LVR,33,32,-0.06478001165501168
15,coex_THY,22,27,0.27501725327812254
16,coex_PNC,25,34,0.2555358350236645
17,coex_ATC,26,34,0.10822021116138769
18,coex_BRO,26,36,-0.16129032258064524
19,coex_SKN,23,36,0.13871473354231956
20,coex_ADS,22,29,0.281148195955498
21,coex_GEJ,33,31,0.3308930460074033
22,coex_BRB,19,28,0.3408647882332092
23,coex_UTR,18,24,0.03287900526064069
24,coex_STM,29,37,0.05659578073371163
25,coex_HRA,29,33,0.2141433128275234
26,coex_PRS,29,36,0.07081280788177358
27,coex_ATA,27,27,0.16452991452991483
28,coex_FIB,26,30,0.2945054945054948
29,coex_BRC,21,35,0.28201058201058204
30,coex_ATT,21,32,0.15053627583108709
31,coex_TNV,26,18,0.014583333333332948
32,coex_SPL,24,34,0.08041751183231938
33,coex_LCL,18,25,-0.1368834688346885
34,coex_CLS,30,35,0.27142857142857135
35,coex_EMC,27,32,-0.09530955743879455
36,coex_CLT,29,36,0.07430213464696211
37,coex_core,37,37,-0.07850241545893732
38,coex_WBL,31,30,0.6333333333333331
39,co-essential,8,11,-0.272129186602871
40,GOBP,16,26,1.8667582417582418
41,ppi,49,48,0.22674056736096504
42,reactome_copathway,22,23,0.398970398970399
43,MP,13,16,0.11333333333333329
44,HP,19,32,0.19552228786251358
45,GI_net,22,17,0.017668738256973793
46,gene_gene_on_CbG_name_mapped,12,3,0.07500000000000018
47,gene_gene_on_GcG_name_mapped,28,30,0.15233990147783238
48,GOMF,3,6,
