,Layer,Ovarian_cyst nodes,Pleural_effusion nodes,sAB
0,coex_KDN,42,39,0.23043006376339714
1,coex_BST,19,25,0.05379403794037918
2,coex_OVR,27,29,0.08999270206166754
3,coex_LNG,32,32,0.22731854838709697
4,coex_ITI,38,38,0.3732385016595543
5,coex_VGN,36,30,-0.002939876215738213
6,coex_HRV,19,26,0.5319388214125058
7,coex_MSG,35,37,0.3155083655083655
8,coex_ADV,20,27,0.33520066889632094
9,coex_EMS,24,26,0.26076923076923064
10,coex_SMU,28,26,0.20512820512820484
11,coex_ARG,29,29,0.3980519480519482
12,coex_TST,34,30,-0.010294117647058787
13,coex_PIT,30,33,0.0660894660894662
14,coex_LVR,30,36,0.21863395225464188
15,coex_THY,25,29,-0.09526954177897595
16,coex_PNC,32,28,-0.01392594389198809
17,coex_ATC,32,33,0.328125
18,coex_BRO,33,34,0.5366692131398014
19,coex_SKN,31,31,0.0
20,coex_ADS,31,30,0.14504810413129565
21,coex_GEJ,32,29,0.7196885428253617
22,coex_BRB,23,28,0.7526619343389531
23,coex_UTR,22,19,0.3536682615629987
24,coex_STM,36,33,0.24665129556433918
25,coex_HRA,27,27,0.16693544052034648
26,coex_PRS,26,27,0.10099177552007754
27,coex_ATA,27,31,0.07949161619906864
28,coex_FIB,19,15,0.07583474816072444
29,coex_BRC,24,23,0.3231190255935861
30,coex_ATT,27,32,0.6058479532163741
31,coex_TNV,19,24,0.6202132673500649
32,coex_SPL,29,32,-0.07712690785754672
33,coex_LCL,14,14,0.16614906832298137
34,coex_CLS,32,31,0.4131784434203789
35,coex_EMC,35,32,0.34358342217483995
36,coex_CLT,37,36,0.38884472708002127
37,coex_core,40,37,0.33820512820512816
38,coex_WBL,27,29,0.027960226236088292
39,co-essential,7,7,1.214285714285714
40,GOBP,20,19,0.5585797491039424
41,ppi,47,47,0.06382978723404253
42,reactome_copathway,11,17,-0.13798076923076907
43,MP,18,17,0.36805555555555536
44,HP,17,26,0.2946174892139324
45,GI_net,13,22,0.36391833972479115
46,gene_gene_on_CbG_name_mapped,7,7,2.220446049250313e-16
47,gene_gene_on_GcG_name_mapped,29,23,0.05651020643524385
48,GOMF,9,8,
