,Layer,Myositis_disease nodes,Peritonitis nodes,sAB
0,coex_KDN,42,40,-0.27260452961672477
1,coex_BST,23,31,-0.1465638148667603
2,coex_OVR,31,35,-0.2722105851138108
3,coex_LNG,38,42,-0.11049498746867181
4,coex_ITI,42,39,-0.326134328594748
5,coex_VGN,30,36,-0.22555780933062874
6,coex_HRV,22,23,-0.4296442687747035
7,coex_MSG,38,41,-0.09910872426512407
8,coex_ADV,30,32,-0.281418010752688
9,coex_EMS,29,34,-0.1663366496023697
10,coex_SMU,30,28,-0.3309934318555008
11,coex_ARG,29,34,-0.1841414726810262
12,coex_TST,35,39,-0.07819027819027813
13,coex_PIT,31,36,-0.16660463192721253
14,coex_LVR,36,39,-0.09376068376068392
15,coex_THY,34,36,0.17240896358543445
16,coex_PNC,29,30,-0.1983169129720852
17,coex_ATC,36,38,-0.10571755966492802
18,coex_BRO,30,38,0.03843700159489627
19,coex_SKN,31,37,-0.15230268218883025
20,coex_ADS,31,32,-0.173891129032258
21,coex_GEJ,34,34,-0.4411764705882353
22,coex_BRB,22,25,0.07147562582345168
23,coex_UTR,29,30,0.033294443004062035
24,coex_STM,38,37,-0.20270270270270263
25,coex_HRA,26,33,-0.07474641939837179
26,coex_PRS,25,34,-0.09309072781655048
27,coex_ATA,31,35,-0.062282878411910714
28,coex_FIB,22,30,-0.09020979020979025
29,coex_BRC,25,29,0.003014048531289948
30,coex_ATT,31,39,-0.1295796234126403
31,coex_TNV,19,22,-0.5473346828609984
32,coex_SPL,40,39,-0.34173969490425193
33,coex_LCL,28,26,-0.14923076923076906
34,coex_CLS,36,35,-0.1681868991728146
35,coex_EMC,35,40,-0.37651663405088076
36,coex_CLT,40,39,-0.2792518662771828
37,coex_core,40,42,-0.10708478513356567
38,coex_WBL,38,40,-0.09411268556005403
39,co-essential,7,15,0.005494505494505475
40,GOBP,20,17,2.6184210526315788
41,ppi,49,50,-0.030346320346320343
42,reactome_copathway,24,23,0.10986024844720488
43,MP,12,11,-0.8595191040843213
44,HP,28,18,-0.23291925465838514
45,GI_net,17,27,-0.2868884927708455
46,gene_gene_on_CbG_name_mapped,9,11,0.12929292929292946
47,gene_gene_on_GcG_name_mapped,26,33,-0.2861996760301846
48,GOMF,7,1,
