,Layer,Erythroderma nodes,Eczematoid_dermatitis nodes,sAB
0,coex_KDN,25,45,-0.1290458937198069
1,coex_BST,19,18,0.07728781412991914
2,coex_OVR,31,32,0.3188284050179211
3,coex_LNG,27,42,0.032112332112332
4,coex_ITI,24,36,-0.0581896551724137
5,coex_VGN,41,38,0.22463363926778568
6,coex_HRV,9,26,0.49768009768009724
7,coex_MSG,38,39,0.026740803056592766
8,coex_ADV,13,28,0.18731573304743998
9,coex_EMS,24,33,0.24381977671451338
10,coex_SMU,20,33,0.3535966981132075
11,coex_ARG,15,32,-0.05938416422287407
12,coex_TST,23,36,0.24812484108822774
13,coex_PIT,17,34,0.23529411764705888
14,coex_LVR,18,32,-0.15826388888888876
15,coex_THY,21,35,0.22261904761904772
16,coex_PNC,13,30,-0.05644007155635089
17,coex_ATC,20,35,-0.14308278867102397
18,coex_BRO,15,31,-0.11223758320532529
19,coex_SKN,40,37,0.0890663390663391
20,coex_ADS,35,35,0.08571428571428563
21,coex_GEJ,27,37,0.5321773386289519
22,coex_BRB,9,27,0.39398692810457514
23,coex_UTR,11,20,0.3998316498316501
24,coex_STM,21,32,0.03149001536098317
25,coex_HRA,16,23,0.06117802585193921
26,coex_PRS,24,31,0.1276515151515154
27,coex_ATA,17,34,-0.09848484848484862
28,coex_FIB,12,14,0.06051948051948042
29,coex_BRC,16,21,0.10629826254826247
30,coex_ATT,22,36,0.2721717171717173
31,coex_TNV,25,27,0.48
32,coex_SPL,19,38,-0.1491228070175441
33,coex_LCL,10,21,-0.20833333333333304
34,coex_CLS,21,29,0.01724137931034475
35,coex_EMC,30,41,0.1516260162601626
36,coex_CLT,21,34,-0.02801120448179284
37,coex_core,38,44,0.23210117866728885
38,coex_WBL,20,39,-0.20864841373315945
39,co-essential,2,4,0.916666666666667
40,GOBP,25,13,0.46218877740616904
41,ppi,47,50,0.037881114279447514
42,reactome_copathway,14,23,0.6095238095238094
43,MP,22,13,0.04450757575757569
44,HP,37,26,-0.05704880704880688
45,GI_net,13,22,0.26773226773226755
46,gene_gene_on_CbG_name_mapped,3,10,0.08333333333333326
47,gene_gene_on_GcG_name_mapped,22,26,-0.15005827505827507
48,GOMF,9,9,
