,Layer,Pityriasis_rubra_pilaris nodes,Fatigue nodes,sAB
0,coex_KDN,37,43,0.11393777498428648
1,coex_BST,28,27,-0.0185185185185186
2,coex_OVR,32,30,-0.010584677419354982
3,coex_LNG,32,36,0.16092084221748393
4,coex_ITI,31,34,-0.03973872427382874
5,coex_VGN,30,35,0.045622119815668105
6,coex_HRV,16,21,0.20803571428571432
7,coex_MSG,36,35,0.041918175720992545
8,coex_ADV,33,33,0.2596944016435545
9,coex_EMS,28,33,0.06035767511177337
10,coex_SMU,22,31,0.06251037459193287
11,coex_ARG,29,33,0.08202716823406475
12,coex_TST,33,31,-0.09095491202346029
13,coex_PIT,31,31,-0.17741935483870952
14,coex_LVR,31,43,-0.017565105562104888
15,coex_THY,28,35,0.023583626999187146
16,coex_PNC,30,30,0.1166666666666667
17,coex_ATC,32,33,0.013060897435897223
18,coex_BRO,33,33,0.015158799533799616
19,coex_SKN,33,36,0.18284770784770776
20,coex_ADS,29,29,0.603448275862069
21,coex_GEJ,33,31,0.09621802002224644
22,coex_BRB,28,22,0.05071428571428571
23,coex_UTR,26,25,0.19886970172684437
24,coex_STM,34,32,0.08603498217468819
25,coex_HRA,30,34,0.2735887096774192
26,coex_PRS,31,30,-0.01717786003878019
27,coex_ATA,28,31,0.04668827618526894
28,coex_FIB,27,29,0.021300857507754012
29,coex_BRC,28,33,0.07397828160540021
30,coex_ATT,28,34,0.06897759103641432
31,coex_TNV,17,20,1.060308972073678
32,coex_SPL,30,38,0.07512899896800818
33,coex_LCL,23,22,0.022727272727272707
34,coex_CLS,32,36,-0.007417929292929504
35,coex_EMC,30,34,0.16200980392156872
36,coex_CLT,30,34,-0.04313725490196085
37,coex_core,35,40,-0.13916312520431506
38,coex_WBL,31,36,0.14333574065158095
39,co-essential,9,9,0.31944444444444464
40,GOBP,18,20,0.863091432225064
41,ppi,50,49,0.1420944135229849
42,reactome_copathway,25,26,0.05754662004661992
43,MP,16,13,0.6615384615384619
44,HP,16,31,0.14254461221688408
45,GI_net,21,30,0.16428571428571415
46,gene_gene_on_CbG_name_mapped,13,20,-0.13875291375291354
47,gene_gene_on_GcG_name_mapped,36,28,-0.1004464285714286
48,GOMF,5,4,
