,Layer,Disorder_of_lung nodes,Rhinitis nodes,sAB
0,coex_KDN,38,31,0.0003294339115234024
1,coex_BST,20,13,0.32039627039627083
2,coex_OVR,28,19,-0.06204906204906235
3,coex_LNG,33,31,0.6995967741935485
4,coex_ITI,33,20,0.19620291988713046
5,coex_VGN,28,23,0.6858178053830231
6,coex_HRV,26,14,0.39274131274131285
7,coex_MSG,33,30,0.3067099567099567
8,coex_ADV,19,19,0.5
9,coex_EMS,19,26,1.165047233468286
10,coex_SMU,18,14,0.20716996476009752
11,coex_ARG,22,14,0.5382395382395382
12,coex_TST,34,28,0.30492680943345096
13,coex_PIT,30,25,0.15525198938992046
14,coex_LVR,33,20,0.10980392156862728
15,coex_THY,29,16,0.7582854406130268
16,coex_PNC,25,22,-0.0047474747474747225
17,coex_ATC,26,22,0.668482680110587
18,coex_BRO,27,30,0.37943469785575035
19,coex_SKN,27,24,0.9029747832939321
20,coex_ADS,28,21,0.8763227513227512
21,coex_GEJ,22,28,1.1936925647451964
22,coex_BRB,27,23,0.713365539452496
23,coex_UTR,13,20,1.1958314589893537
24,coex_STM,34,25,0.1694815553339979
25,coex_HRA,25,17,0.4926171688187466
26,coex_PRS,24,23,0.3412156953438177
27,coex_ATA,28,18,0.6632395382395386
28,coex_FIB,19,15,0.2777777777777781
29,coex_BRC,26,16,0.5285670731707319
30,coex_ATT,24,19,0.716100451798392
31,coex_TNV,21,15,0.7333333333333338
32,coex_SPL,24,17,-0.1435915829746537
33,coex_LCL,16,9,0.6363636363636362
34,coex_CLS,29,20,0.34022852639873946
35,coex_EMC,27,22,-0.019575600970950013
36,coex_CLT,32,20,0.19538200339558598
37,coex_core,35,28,0.7817132157902948
38,coex_WBL,33,17,-0.0037555344718531725
39,co-essential,10,3,-0.7230769230769227
40,GOBP,14,15,1.5714285714285716
41,ppi,49,48,0.08134774528368038
42,reactome_copathway,18,14,0.3935185185185186
43,MP,10,15,-0.12738095238095193
44,HP,23,19,0.38057099269913897
45,GI_net,18,20,0.13055555555555554
46,gene_gene_on_CbG_name_mapped,18,13,-0.004618141714916035
47,gene_gene_on_GcG_name_mapped,36,25,0.08022768670309643
48,GOMF,8,7,
