,Layer,Diarrhea nodes,Chronic_pain nodes,sAB
0,coex_KDN,36,34,0.11444911297852478
1,coex_BST,19,22,-0.07587719298245643
2,coex_OVR,24,28,0.019001831501831212
3,coex_LNG,30,24,0.3471341252450695
4,coex_ITI,37,30,0.31738604275917703
5,coex_VGN,22,32,0.01099537037037046
6,coex_HRV,21,23,0.5722446916076844
7,coex_MSG,35,32,0.0840951492537314
8,coex_ADV,26,24,0.3121794871794874
9,coex_EMS,23,27,0.2589694041867956
10,coex_SMU,19,27,-0.058564285108907654
11,coex_ARG,18,26,0.34379483500717356
12,coex_TST,28,35,-0.267063492063492
13,coex_PIT,31,35,0.0022482893450637143
14,coex_LVR,28,27,0.014237614237614382
15,coex_THY,20,27,0.23169818754925187
16,coex_PNC,28,26,0.26672268907563024
17,coex_ATC,24,26,0.3385780885780889
18,coex_BRO,26,35,0.22284273103945207
19,coex_SKN,22,29,0.13722416866433118
20,coex_ADS,20,20,0.12179943100995727
21,coex_GEJ,28,26,0.6903744403744403
22,coex_BRB,22,24,0.22315546772068506
23,coex_UTR,15,20,0.9767857142857141
24,coex_STM,31,29,0.36746384872080085
25,coex_HRA,22,22,0.511653075606564
26,coex_PRS,24,29,0.08119940029984996
27,coex_ATA,20,26,0.7104895104895106
28,coex_FIB,19,19,0.25515995872033015
29,coex_BRC,23,30,0.3254306808859724
30,coex_ATT,20,25,0.3139295392953936
31,coex_TNV,15,18,0.41010101010100986
32,coex_SPL,24,23,0.2366250385445574
33,coex_LCL,14,13,-0.23076923076923084
34,coex_CLS,25,23,0.6686231884057969
35,coex_EMC,27,24,0.26606753812636175
36,coex_CLT,30,29,0.27586206896551735
37,coex_core,32,30,0.3302187615869485
38,coex_WBL,26,24,0.24284013605442167
39,co-essential,7,4,-0.4750000000000001
40,GOBP,21,19,0.18421052631578938
41,ppi,49,50,0.12021438878581736
42,reactome_copathway,18,12,1.0779220779220777
43,MP,19,20,1.2826797385620914
44,HP,23,17,0.5906010230179026
45,GI_net,13,11,-0.19259906759906764
46,gene_gene_on_CbG_name_mapped,7,15,0.11341991341991342
47,gene_gene_on_GcG_name_mapped,26,30,-0.05613553113553116
48,GOMF,8,4,
