,Layer,Peripheral_vascular_disease nodes,Renovascular_hypertension nodes,sAB
0,coex_KDN,35,43,-0.12592213987562828
1,coex_BST,22,24,0.4206192358366274
2,coex_OVR,18,26,0.2836209618015362
3,coex_LNG,28,31,0.6532911061773543
4,coex_ITI,33,39,0.3016705516705518
5,coex_VGN,27,33,0.1713804713804712
6,coex_HRV,23,21,0.2076866223207685
7,coex_MSG,32,39,0.2128870982304083
8,coex_ADV,29,21,0.574462768615692
9,coex_EMS,15,23,-0.14225781845919094
10,coex_SMU,18,27,-0.09165181224004737
11,coex_ARG,15,21,0.028417818740399614
12,coex_TST,22,32,-0.030513468013467993
13,coex_PIT,28,33,0.017022525497101704
14,coex_LVR,45,27,0.1592592592592592
15,coex_THY,21,24,-0.05245308037535734
16,coex_PNC,29,25,-0.10382780307959205
17,coex_ATC,23,28,0.2884849592010714
18,coex_BRO,19,24,0.20912382700938403
19,coex_SKN,27,30,0.22781271837875572
20,coex_ADS,22,26,0.17778960170264568
21,coex_GEJ,30,18,0.5660612207265352
22,coex_BRB,17,25,0.17676470588235293
23,coex_UTR,6,20,0.19166666666666643
24,coex_STM,27,30,0.11091617933723219
25,coex_HRA,27,25,0.8022222222222224
26,coex_PRS,22,30,0.19810606060606029
27,coex_ATA,31,20,0.3708333333333331
28,coex_FIB,15,20,0.12236842105263168
29,coex_BRC,19,26,0.4346106769607383
30,coex_ATT,24,26,0.3642460684551345
31,coex_TNV,24,21,-0.09757877781133573
32,coex_SPL,30,29,0.4732028053769728
33,coex_LCL,11,14,0.31153846153846176
34,coex_CLS,29,26,0.9512732095490715
35,coex_EMC,23,31,0.21298737727910266
36,coex_CLT,24,37,0.20252036144090102
37,coex_core,36,38,0.4517876760211723
38,coex_WBL,30,21,0.7805322128851544
39,co-essential,8,7,-0.2738095238095233
40,GOBP,13,10,1.1
41,ppi,50,50,0.09000000000000008
42,reactome_copathway,23,16,-0.07505875440658061
43,MP,19,12,0.49404761904761907
44,HP,19,24,0.32341391268869857
45,GI_net,13,14,-0.019621682665160733
46,gene_gene_on_CbG_name_mapped,20,16,0.08333333333333326
47,gene_gene_on_GcG_name_mapped,28,38,-0.11554454317612195
48,GOMF,2,5,
