,Layer,Endometriosis nodes,Hematologic_neoplasm nodes,sAB
0,coex_KDN,41,46,0.2963520749665327
1,coex_BST,26,24,0.4673401133028463
2,coex_OVR,25,32,0.048363095238095344
3,coex_LNG,27,41,0.6263350868802804
4,coex_ITI,35,37,0.16456456456456436
5,coex_VGN,31,35,0.4375506214215892
6,coex_HRV,33,19,0.45576388888888886
7,coex_MSG,35,40,0.12357142857142844
8,coex_ADV,19,37,0.4426652322630473
9,coex_EMS,20,33,0.6277730131503714
10,coex_SMU,24,32,0.3206845238095237
11,coex_ARG,27,34,0.3261380575622064
12,coex_TST,36,38,0.22164928085980717
13,coex_PIT,32,38,0.2679788662798064
14,coex_LVR,28,34,0.35697343453510433
15,coex_THY,33,36,0.7784365393061043
16,coex_PNC,26,33,0.33377780411678737
17,coex_ATC,27,42,0.5169355538208
18,coex_BRO,29,38,0.16752444673185796
19,coex_SKN,25,39,0.42928039702233267
20,coex_ADS,33,31,0.8891434506353861
21,coex_GEJ,27,33,0.9100569114027892
22,coex_BRB,23,27,0.3605797101449275
23,coex_UTR,17,31,0.16176470588235325
24,coex_STM,35,32,0.34867404051172723
25,coex_HRA,27,31,0.5534220856801499
26,coex_PRS,22,36,0.5016109369557644
27,coex_ATA,27,33,0.0735799288430865
28,coex_FIB,20,28,-0.1095238095238098
29,coex_BRC,31,32,0.17076612903225796
30,coex_ATT,26,38,0.5650861181637272
31,coex_TNV,25,27,0.5660897435897434
32,coex_SPL,25,37,0.5131996512641677
33,coex_LCL,12,31,0.4083333333333332
34,coex_CLS,27,33,0.3151890482398958
35,coex_EMC,27,38,0.3791281824068711
36,coex_CLT,28,36,0.29628625643805906
37,coex_core,39,45,0.7219303731498852
38,coex_WBL,30,42,0.33882605980711866
39,co-essential,7,8,0.5480769230769229
40,GOBP,8,14,0.2868131868131867
41,ppi,49,50,0.201465677179963
42,reactome_copathway,16,23,0.46529817861339584
43,MP,10,16,0.35507246376811574
44,HP,16,29,0.1182087008821171
45,GI_net,19,27,-0.1333333333333333
46,gene_gene_on_CbG_name_mapped,14,17,-0.03307129303334233
47,gene_gene_on_GcG_name_mapped,33,34,-0.10376592970973997
48,GOMF,5,6,
