,Layer,Skin_disorder nodes,Purpura nodes,sAB
0,coex_KDN,37,41,0.03883981542518122
1,coex_BST,21,24,0.03642010163749276
2,coex_OVR,29,30,0.4915351646210795
3,coex_LNG,32,39,0.5127159977703455
4,coex_ITI,34,40,0.11190381558028628
5,coex_VGN,30,30,0.20168517436197186
6,coex_HRV,23,22,0.752343965438
7,coex_MSG,37,38,0.4267520151730677
8,coex_ADV,27,29,0.7228835978835979
9,coex_EMS,23,27,0.3392270531400965
10,coex_SMU,22,26,0.25451631701631694
11,coex_ARG,19,30,0.4895670026129155
12,coex_TST,30,30,-0.19999999999999996
13,coex_PIT,32,29,0.12201455624646695
14,coex_LVR,32,36,0.39236111111111116
15,coex_THY,22,37,0.0032170074542952065
16,coex_PNC,26,25,0.07416289592760172
17,coex_ATC,25,36,0.11805555555555558
18,coex_BRO,32,33,0.13538752913752905
19,coex_SKN,23,31,-0.01431094488598017
20,coex_ADS,25,30,0.5358974358974358
21,coex_GEJ,29,32,0.6175299532437171
22,coex_BRB,21,23,0.29653679653679665
23,coex_UTR,20,17,0.3604793233082706
24,coex_STM,34,33,0.41597493814350717
25,coex_HRA,26,27,0.3791727140783747
26,coex_PRS,30,28,-0.05529100529100539
27,coex_ATA,26,32,0.23549403183023854
28,coex_FIB,28,22,0.36675324675324683
29,coex_BRC,26,24,0.015576923076923155
30,coex_ATT,28,35,0.17601979860044414
31,coex_TNV,18,19,1.0457516339869284
32,coex_SPL,26,42,0.17943141435678767
33,coex_LCL,15,24,-0.11262531328320802
34,coex_CLS,34,33,0.6111111111111112
35,coex_EMC,29,33,-0.2663902652779182
36,coex_CLT,32,33,0.2170393450635386
37,coex_core,35,42,0.43831168831168843
38,coex_WBL,30,43,0.40930232558139545
39,co-essential,7,6,0.7651515151515147
40,GOBP,21,19,1.3227969348659006
41,ppi,48,48,0.08333333333333326
42,reactome_copathway,14,18,0.24188640973630804
43,MP,15,13,0.06111111111111134
44,HP,10,30,0.33333333333333326
45,GI_net,21,19,0.06015037593984962
46,gene_gene_on_CbG_name_mapped,10,12,-0.00909090909090926
47,gene_gene_on_GcG_name_mapped,30,35,-0.1606227106227105
48,GOMF,7,5,
