,Layer,Primary_dilated_cardiomyopathy nodes,Blepharitis nodes,sAB
0,coex_KDN,31,43,-0.03763798092380233
1,coex_BST,21,41,0.23987428622017593
2,coex_OVR,24,41,0.17555503439649778
3,coex_LNG,25,45,0.24285714285714288
4,coex_ITI,27,42,0.22941108810674016
5,coex_VGN,28,42,0.19918265813788194
6,coex_HRV,40,15,2.1473901098901096
7,coex_MSG,44,45,0.7069373510384747
8,coex_ADV,20,39,0.16718817905258554
9,coex_EMS,34,42,0.3772175536881419
10,coex_SMU,36,41,0.6698694259669871
11,coex_ARG,21,41,-0.006827269092362975
12,coex_TST,30,45,0.0344444444444445
13,coex_PIT,26,44,0.02877122877122873
14,coex_LVR,18,44,0.07547246660149876
15,coex_THY,31,25,0.7922679683078666
16,coex_PNC,16,41,0.2676829268292682
17,coex_ATC,38,42,1.032111528822055
18,coex_BRO,27,38,0.16267056530214452
19,coex_SKN,24,43,0.05757549461992362
20,coex_ADS,21,19,1.2228662873399716
21,coex_GEJ,24,41,0.33202202989771834
22,coex_BRB,21,14,0.41428571428571415
23,coex_UTR,22,37,0.10820180735434981
24,coex_STM,29,41,0.4414273699387239
25,coex_HRA,43,38,0.5058139534883721
26,coex_PRS,43,41,0.5500499689382274
27,coex_ATA,19,36,0.52668793195109
28,coex_FIB,17,40,0.2607198142414864
29,coex_BRC,30,40,0.12628205128205128
30,coex_ATT,29,42,0.3667550839964635
31,coex_TNV,26,14,0.1071428571428572
32,coex_SPL,23,41,0.19049907211028616
33,coex_LCL,24,39,0.13876705653021437
34,coex_CLS,28,42,0.20466570466570455
35,coex_EMC,19,42,0.3714583067839088
36,coex_CLT,24,43,0.19922480620155025
37,coex_core,41,43,0.9630743051616562
38,coex_WBL,34,41,1.3964892294946147
39,co-essential,11,22,0.4186217008797657
40,GOBP,23,21,2.3877131640289537
41,ppi,49,50,0.35472892187177907
42,reactome_copathway,17,25,0.7870448179271707
43,MP,25,13,1.4731531531531536
44,HP,38,36,0.9480994152046782
45,GI_net,17,29,-0.22137193435367863
46,gene_gene_on_CbG_name_mapped,11,4,0.6431818181818185
47,gene_gene_on_GcG_name_mapped,27,35,0.12522614780679286
48,GOMF,2,4,
