,Layer,Abetalipoproteinaemia nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,40,31,0.09315117958594121
1,coex_BST,31,21,0.28080786644029443
2,coex_OVR,36,24,0.1791666666666667
3,coex_LNG,37,25,0.15684394071490848
4,coex_ITI,40,27,0.14964068546158105
5,coex_VGN,33,28,0.059747723540827025
6,coex_HRV,24,40,0.1470430107526881
7,coex_MSG,40,44,0.319805194805195
8,coex_ADV,28,20,0.18214285714285694
9,coex_EMS,30,34,0.6362745098039215
10,coex_SMU,30,36,0.1838383838383837
11,coex_ARG,28,21,0.06488095238095237
12,coex_TST,36,30,-0.051736111111111205
13,coex_PIT,32,26,-0.10945789124668437
14,coex_LVR,35,18,-0.011111111111111072
15,coex_THY,31,31,0.8749103942652332
16,coex_PNC,29,16,0.013009404388714785
17,coex_ATC,36,38,0.42998261419314066
18,coex_BRO,36,27,0.0443121693121693
19,coex_SKN,35,24,0.1471549636803875
20,coex_ADS,33,21,0.9476986849628362
21,coex_GEJ,32,24,0.7344913151364763
22,coex_BRB,27,21,0.28968253968253954
23,coex_UTR,21,22,0.23127453941407428
24,coex_STM,37,29,-0.0628088903950974
25,coex_HRA,32,43,0.25664728682170534
26,coex_PRS,33,43,0.27922740254441614
27,coex_ATA,30,19,0.050951847704367115
28,coex_FIB,26,17,0.11638429969483322
29,coex_BRC,34,30,0.06696576935859122
30,coex_ATT,32,29,0.29884718607677296
31,coex_TNV,21,26,0.17499999999999982
32,coex_SPL,36,23,0.09815360681241314
33,coex_LCL,24,24,0.11074561403508776
34,coex_CLS,32,28,0.2551256613756614
35,coex_EMC,30,19,0.29165733482642775
36,coex_CLT,34,24,0.1387762001352264
37,coex_core,39,41,0.6079430838737643
38,coex_WBL,34,34,0.9054298642533936
39,co-essential,6,11,0.49197860962566864
40,GOBP,24,23,1.3811004784688996
41,ppi,50,49,0.3252339723768294
42,reactome_copathway,12,17,0.7700534759358293
43,MP,14,25,1.4364772727272728
44,HP,27,38,0.6128430049482683
45,GI_net,13,17,0.07611506140917879
46,gene_gene_on_CbG_name_mapped,11,11,0.36363636363636354
47,gene_gene_on_GcG_name_mapped,30,27,-0.14083820662768032
48,GOMF,7,2,
