,Layer,Squamous_cell_carcinoma nodes,Kaposi_sarcoma nodes,sAB
0,coex_KDN,45,40,-0.5211580086580085
1,coex_BST,35,21,-0.3857142857142859
2,coex_OVR,36,34,-0.5748917748917752
3,coex_LNG,42,33,-0.10665142276422768
4,coex_ITI,41,38,-0.1843648949480834
5,coex_VGN,37,27,-0.082254129129129
6,coex_HRV,30,27,-0.24595959595959593
7,coex_MSG,42,35,-0.2997835497835497
8,coex_ADV,32,25,-0.20461309523809557
9,coex_EMS,35,23,-0.22600128507174988
10,coex_SMU,33,28,-0.36775246611312196
11,coex_ARG,30,23,-0.5081596902083716
12,coex_TST,39,34,-0.24450918407405098
13,coex_PIT,43,31,-0.2975304636970053
14,coex_LVR,38,37,-0.41329540066382164
15,coex_THY,35,27,-0.2288786482334868
16,coex_PNC,31,25,-0.38792626728110613
17,coex_ATC,32,29,-0.18509454949944404
18,coex_BRO,37,32,-0.27966485507246386
19,coex_SKN,35,26,-0.19591064673031888
20,coex_ADS,37,27,-0.3518674924924925
21,coex_GEJ,37,36,-0.3309523809523809
22,coex_BRB,29,29,-0.41009852216748754
23,coex_UTR,26,19,-0.17094017094017122
24,coex_STM,40,37,-0.43065110565110554
25,coex_HRA,38,31,-0.31412243793213745
26,coex_PRS,38,34,-0.3661420708634333
27,coex_ATA,33,23,-0.40426783361566
28,coex_FIB,34,25,-0.40917450365726227
29,coex_BRC,35,28,-0.4730158730158729
30,coex_ATT,32,26,-0.62111013986014
31,coex_TNV,30,26,-0.46210826210826217
32,coex_SPL,27,25,-0.3478632478632482
33,coex_LCL,27,22,-0.5029137529137528
34,coex_CLS,35,34,-0.3379734848484848
35,coex_EMC,35,29,-0.6429698316108055
36,coex_CLT,36,34,-0.0806950097994874
37,coex_core,44,35,-0.3296317606444188
38,coex_WBL,38,29,-0.2746900505521195
39,co-essential,20,9,0.5157407407407404
40,GOBP,8,17,-0.3663967611336032
41,ppi,50,45,-0.3695906432748537
42,reactome_copathway,30,24,-0.5142857142857142
43,MP,11,12,-0.5
44,HP,26,14,-0.08571428571428585
45,GI_net,34,23,-0.31698564593301426
46,gene_gene_on_CbG_name_mapped,15,17,-0.15355392156862746
47,gene_gene_on_GcG_name_mapped,32,25,-0.2939035087719297
48,GOMF,5,10,
