,Layer,beta_Thalassemia nodes,Coarctation_of_aorta nodes,sAB
0,coex_KDN,29,48,0.2541235632183907
1,coex_BST,19,40,0.03050847457627115
2,coex_OVR,21,45,-0.08759018759018744
3,coex_LNG,31,43,0.3692446549137287
4,coex_ITI,24,47,-0.01992183598042163
5,coex_VGN,25,46,-0.14127985303123114
6,coex_HRV,16,16,0.023148148148148362
7,coex_MSG,26,44,0.10741758241758226
8,coex_ADV,20,44,0.42835320417287637
9,coex_EMS,22,41,0.052895894428152346
10,coex_SMU,19,38,0.16906850459482015
11,coex_ARG,22,39,0.16973327219228862
12,coex_TST,24,46,-0.10018115942028993
13,coex_PIT,25,40,0.18500000000000005
14,coex_LVR,33,38,0.5451697425381634
15,coex_THY,19,39,0.39597390913180375
16,coex_PNC,21,39,0.12586551123571654
17,coex_ATC,22,43,0.06710795664284053
18,coex_BRO,24,41,0.22940900562851763
19,coex_SKN,18,44,-0.03396871945259061
20,coex_ADS,16,26,0.5210576923076928
21,coex_GEJ,19,42,0.22619047619047628
22,coex_BRB,15,22,0.6104166666666666
23,coex_UTR,21,40,0.16361241217798606
24,coex_STM,26,41,0.1271106941838649
25,coex_HRA,19,39,0.16824887151565915
26,coex_PRS,27,44,0.1688213747037277
27,coex_ATA,17,32,0.47821790006325093
28,coex_FIB,17,38,0.04890680775114742
29,coex_BRC,23,38,0.2302959822935815
30,coex_ATT,17,41,0.5134654471544713
31,coex_TNV,15,15,0.07142857142857117
32,coex_SPL,38,43,1.1008328095537396
33,coex_LCL,16,37,0.374763418881066
34,coex_CLS,24,41,0.0600806451612903
35,coex_EMC,26,43,0.07294475742931139
36,coex_CLT,24,43,-0.0317381117667479
37,coex_core,32,45,0.3079632226897304
38,coex_WBL,34,33,0.7928972987796516
39,co-essential,11,16,1.2393181818181818
40,GOBP,28,15,0.6633056133056137
41,ppi,50,50,0.25
42,reactome_copathway,10,15,0.21269841269841283
43,MP,15,9,1.0952380952380953
44,HP,22,29,0.8691990902944249
45,GI_net,16,26,0.11153846153846159
46,gene_gene_on_CbG_name_mapped,15,2,0.2823529411764705
47,gene_gene_on_GcG_name_mapped,32,38,0.1428336466165412
48,GOMF,2,6,
