,Layer,Gingival_disorder nodes,Cellulitis nodes,sAB
0,coex_KDN,48,45,0.47780017921146944
1,coex_BST,42,22,0.3769615800865802
2,coex_OVR,42,38,0.32897137643973084
3,coex_LNG,47,42,0.40396030752726597
4,coex_ITI,44,44,0.18357694831231308
5,coex_VGN,42,41,0.3475287133823717
6,coex_HRV,35,34,0.8099500669833153
7,coex_MSG,47,45,0.26038133415561715
8,coex_ADV,38,30,0.4349282296650716
9,coex_EMS,39,30,0.6080267558528432
10,coex_SMU,40,31,0.5305883689232167
11,coex_ARG,37,27,0.3677248677248679
12,coex_TST,46,35,0.21775170615750317
13,coex_PIT,44,36,0.22449955843391223
14,coex_LVR,43,36,0.30042593065848866
15,coex_THY,43,41,0.830341949598898
16,coex_PNC,42,34,0.20617720772519554
17,coex_ATC,39,42,0.4152421652421654
18,coex_BRO,42,39,0.7892543859649122
19,coex_SKN,46,33,0.3040404040404039
20,coex_ADS,40,39,1.0641025641025643
21,coex_GEJ,39,35,0.6251942501942502
22,coex_BRB,29,31,0.7821468298109013
23,coex_UTR,42,27,0.34167343395592376
24,coex_STM,42,43,0.2934597094651812
25,coex_HRA,45,27,0.6990740740740744
26,coex_PRS,45,37,0.6514172709294659
27,coex_ATA,39,38,0.6266761498340445
28,coex_FIB,39,20,-0.07654280747501074
29,coex_BRC,42,25,0.20002842928216036
30,coex_ATT,43,36,0.416478592221895
31,coex_TNV,32,30,0.9107190860215053
32,coex_SPL,45,38,0.34492355386458096
33,coex_LCL,30,24,0.27731481481481524
34,coex_CLS,44,39,0.33625667204793697
35,coex_EMC,43,40,0.20303306248248787
36,coex_CLT,42,44,0.5692640692640694
37,coex_core,48,46,0.5747282608695654
38,coex_WBL,40,37,0.26249999999999996
39,co-essential,15,8,0.6567028985507242
40,GOBP,25,12,1.6439393939393936
41,ppi,46,50,0.1699456521739131
42,reactome_copathway,9,21,0.5614035087719298
43,MP,12,11,1.3277777777777775
44,HP,8,33,0.628880266075388
45,GI_net,18,21,0.2603174603174603
46,gene_gene_on_CbG_name_mapped,4,8,0.125
47,gene_gene_on_GcG_name_mapped,35,30,0.023076923076923217
48,GOMF,6,2,
