,Layer,Prostate_neoplasm nodes,Squamous_cell_carcinoma_of_the_head_and_neck nodes,sAB
0,coex_KDN,42,45,-0.5410135841170323
1,coex_BST,31,31,-0.467741935483871
2,coex_OVR,32,33,-0.5541243702534024
3,coex_LNG,42,39,-0.32272514071294545
4,coex_ITI,41,40,-0.6911773562180066
5,coex_VGN,36,38,-0.4308716611348191
6,coex_HRV,26,26,-0.5694268476621418
7,coex_MSG,41,42,-0.44498551698081523
8,coex_ADV,27,27,-0.12962962962962954
9,coex_EMS,32,35,-0.27547308102345425
10,coex_SMU,34,32,-0.5372523310023309
11,coex_ARG,32,35,-0.41964952025586344
12,coex_TST,45,44,-0.3151628646010669
13,coex_PIT,35,38,-0.5179233294503867
14,coex_LVR,37,35,-0.5997854997854999
15,coex_THY,38,39,-0.7003566608829768
16,coex_PNC,30,33,-0.48643578643578644
17,coex_ATC,33,41,-0.49116161616161613
18,coex_BRO,37,38,-0.4666429587482219
19,coex_SKN,32,38,-0.5895954823946261
20,coex_ADS,39,34,-0.2885648463811237
21,coex_GEJ,32,30,-0.7413793103448274
22,coex_BRB,29,34,-0.4145899739206025
23,coex_UTR,21,31,-0.49319727891156484
24,coex_STM,42,39,-0.4582146248812917
25,coex_HRA,34,37,-0.3945845182382053
26,coex_PRS,36,35,-0.3142857142857143
27,coex_ATA,33,33,-0.696969696969697
28,coex_FIB,29,36,-0.5180905695611577
29,coex_BRC,35,37,-0.5723830973830975
30,coex_ATT,29,38,-0.4004329004329006
31,coex_TNV,23,24,-1.1948397013614405
32,coex_SPL,29,32,-0.1877738128886377
33,coex_LCL,29,22,-0.47230811516525817
34,coex_CLS,36,38,0.027822490498546903
35,coex_EMC,36,34,-0.41818181818181843
36,coex_CLT,40,35,-0.3162393162393162
37,coex_core,45,41,-0.30971738288811457
38,coex_WBL,37,37,-0.3783783783783783
39,co-essential,20,21,-0.2724025974025972
40,GOBP,8,13,0.46848739495798286
41,ppi,50,50,-0.27
42,reactome_copathway,30,31,0.007648099027409261
43,MP,8,13,-0.500228937728938
44,HP,19,22,-0.4663029525032092
45,GI_net,31,32,-0.2692092293906809
46,gene_gene_on_CbG_name_mapped,16,19,-0.2584116541353384
47,gene_gene_on_GcG_name_mapped,35,27,-0.4231097456903907
48,GOMF,6,4,
