,Layer,Epididymitis nodes,Urinary_bladder_inflammation nodes,sAB
0,coex_KDN,42,34,-0.2529870129870131
1,coex_BST,29,21,-0.15333333333333332
2,coex_OVR,30,25,-0.09987228607918275
3,coex_LNG,35,32,0.15282781734394635
4,coex_ITI,43,32,0.05829941860465104
5,coex_VGN,30,27,-0.17699805068226127
6,coex_HRV,21,29,-0.04700328407224941
7,coex_MSG,42,33,-0.13363636363636378
8,coex_ADV,38,23,-0.20662490152680357
9,coex_EMS,29,17,-0.072801834376929
10,coex_SMU,24,20,0.13650151668351884
11,coex_ARG,25,22,-0.20404208194905848
12,coex_TST,28,30,-0.3141625615763548
13,coex_PIT,33,34,-0.28217867879852077
14,coex_LVR,28,26,-0.2678571428571428
15,coex_THY,24,21,0.2066629023150761
16,coex_PNC,27,25,0.0017094017094017033
17,coex_ATC,32,26,0.06370192307692313
18,coex_BRO,31,34,-0.3270836374251933
19,coex_SKN,32,24,0.2619047619047614
20,coex_ADS,31,26,-0.186974881372165
21,coex_GEJ,36,22,0.34646962233169143
22,coex_BRB,25,29,-0.3014559386973179
23,coex_UTR,20,14,0.20440213436817833
24,coex_STM,32,25,0.08594470046082958
25,coex_HRA,28,24,-0.2890499194847018
26,coex_PRS,28,20,-0.27387914230019494
27,coex_ATA,29,25,-0.10076923076923094
28,coex_FIB,22,20,-0.4046536796536795
29,coex_BRC,29,31,-0.18242491657397109
30,coex_ATT,26,21,0.1245652173913041
31,coex_TNV,27,21,0.342592592592593
32,coex_SPL,23,23,0.21739130434782616
33,coex_LCL,16,15,-0.3947580645161288
34,coex_CLS,35,23,0.20534290271132383
35,coex_EMC,28,24,-0.08051698940445773
36,coex_CLT,33,25,0.17995283018867925
37,coex_core,44,33,0.06947998961462853
38,coex_WBL,30,26,-0.16739926739926725
39,co-essential,15,10,-0.0773809523809521
40,GOBP,9,4,-1.4749999999999996
41,ppi,49,50,-0.11217480931766644
42,reactome_copathway,22,26,0.21944444444444455
43,MP,15,9,-0.11749482401656319
44,HP,14,16,0.13422619047619055
45,GI_net,25,19,-0.327177033492823
46,gene_gene_on_CbG_name_mapped,10,17,-0.43180827886710227
47,gene_gene_on_GcG_name_mapped,28,33,-0.1470974380810448
48,GOMF,5,3,
