,Layer,Intracranial_swelling nodes,Psoriasis nodes,sAB
0,coex_KDN,36,35,-0.06094771241830044
1,coex_BST,18,21,0.4142857142857146
2,coex_OVR,29,27,-0.14791967291967323
3,coex_LNG,25,31,0.20509259259259283
4,coex_ITI,34,27,0.4321225758062788
5,coex_VGN,29,32,0.17558472300734884
6,coex_HRV,31,22,0.3597119199585994
7,coex_MSG,33,32,-0.028583916083916083
8,coex_ADV,19,22,0.25371120107962186
9,coex_EMS,20,23,0.43116784630940286
10,coex_SMU,20,23,0.3861729019211326
11,coex_ARG,23,22,0.33732981993851574
12,coex_TST,30,33,-0.2927128427128427
13,coex_PIT,33,28,0.10137676531119166
14,coex_LVR,34,26,-0.17692307692307696
15,coex_THY,22,24,0.5966311241842086
16,coex_PNC,25,24,0.3169897959183674
17,coex_ATC,16,29,0.46311389759665644
18,coex_BRO,35,31,0.2239491691104596
19,coex_SKN,28,33,0.050623370273794155
20,coex_ADS,25,31,0.2421505376344082
21,coex_GEJ,20,28,0.2928571428571427
22,coex_BRB,33,27,0.033333333333333215
23,coex_UTR,17,20,0.3541666666666665
24,coex_STM,35,32,0.5569852941176472
25,coex_HRA,27,25,0.5243019943019944
26,coex_PRS,23,24,0.3060631229235877
27,coex_ATA,22,21,0.16535789791603728
28,coex_FIB,16,21,0.4285714285714284
29,coex_BRC,32,24,-0.032738095238095344
30,coex_ATT,24,26,0.09083307996351486
31,coex_TNV,24,19,0.15807323541411655
32,coex_SPL,23,27,0.2093554593554594
33,coex_LCL,15,28,-0.008547008547008517
34,coex_CLS,32,33,0.04166666666666696
35,coex_EMC,27,32,0.3133533427495294
36,coex_CLT,30,28,0.23214285714285698
37,coex_core,36,36,0.3194444444444444
38,coex_WBL,27,30,0.9523809523809521
39,co-essential,5,9,0.9548076923076927
40,GOBP,14,17,1.1351379598662206
41,ppi,50,49,-0.14106369820655518
42,reactome_copathway,21,19,-0.15476190476190488
43,MP,10,13,0.24007936507936556
44,HP,20,20,0.125
45,GI_net,13,22,-0.6585081585081582
46,gene_gene_on_CbG_name_mapped,23,11,-0.26749593117879567
47,gene_gene_on_GcG_name_mapped,37,23,-0.3273599686643165
48,GOMF,3,5,
