,Layer,Primary_dilated_cardiomyopathy nodes,Delayed_puberty nodes,sAB
0,coex_KDN,31,39,0.15613955936536583
1,coex_BST,21,34,0.1549567195299173
2,coex_OVR,24,34,0.3191768086544964
3,coex_LNG,25,37,0.0927637314734091
4,coex_ITI,27,37,0.18615490490490494
5,coex_VGN,28,36,0.28184361176164474
6,coex_HRV,40,14,2.420301161103048
7,coex_MSG,44,37,0.23988003154669824
8,coex_ADV,20,31,0.198102466793169
9,coex_EMS,34,34,0.4836898395721927
10,coex_SMU,36,34,0.3253968253968256
11,coex_ARG,21,34,0.25724400871459707
12,coex_TST,30,39,0.04810479375696741
13,coex_PIT,26,41,0.16109882109154028
14,coex_LVR,18,32,0.3082638888888889
15,coex_THY,31,34,0.9053510436432637
16,coex_PNC,16,31,0.3945301542777
17,coex_ATC,38,36,1.0410937253042516
18,coex_BRO,27,36,0.2427248677248679
19,coex_SKN,24,34,0.020030425963488696
20,coex_ADS,21,23,0.6078207847295864
21,coex_GEJ,24,36,0.20429292929292941
22,coex_BRB,21,14,0.08015513897866855
23,coex_UTR,22,32,0.07702020202020199
24,coex_STM,29,37,0.12064729306108624
25,coex_HRA,43,36,0.5073962319693845
26,coex_PRS,43,36,0.24333971151015632
27,coex_ATA,19,32,0.2840557275541795
28,coex_FIB,17,30,0.3408010012515643
29,coex_BRC,30,35,0.14761904761904776
30,coex_ATT,29,38,0.39882032667876555
31,coex_TNV,26,14,0.4850230414746548
32,coex_SPL,23,33,0.24971767363071695
33,coex_LCL,24,27,0.15089362618432411
34,coex_CLS,28,35,0.2783248139180343
35,coex_EMC,19,37,0.2217480638533269
36,coex_CLT,24,35,0.0838579499596448
37,coex_core,41,36,0.7722086720867207
38,coex_WBL,34,30,1.1990838958534233
39,co-essential,11,11,0.9545454545454546
40,GOBP,23,24,1.692885375494071
41,ppi,49,48,0.4511185917666034
42,reactome_copathway,17,15,0.8493190379600115
43,MP,25,19,0.737312661498708
44,HP,38,35,0.8132954936360508
45,GI_net,17,26,0.16168193356141725
46,gene_gene_on_CbG_name_mapped,11,2,0.31818181818181834
47,gene_gene_on_GcG_name_mapped,27,36,0.01256613756613767
48,GOMF,2,15,
