,Layer,Pruritus nodes,Dysuria nodes,sAB
0,coex_KDN,31,32,0.16471774193548372
1,coex_BST,17,23,0.15294117647058814
2,coex_OVR,22,24,-0.06579380764163334
3,coex_LNG,24,25,-0.02006802721088441
4,coex_ITI,27,26,0.07740686985970013
5,coex_VGN,28,29,-0.08895082533921017
6,coex_HRV,16,11,-0.12089646464646453
7,coex_MSG,31,26,-0.11804029304029307
8,coex_ADV,12,19,0.02447651386530847
9,coex_EMS,21,24,-0.3181818181818181
10,coex_SMU,18,22,0.21792929292929308
11,coex_ARG,16,22,-0.037837837837837895
12,coex_TST,27,33,0.020707070707070896
13,coex_PIT,19,36,0.3164299637983845
14,coex_LVR,23,23,0.043478260869564966
15,coex_THY,25,21,0.21166666666666645
16,coex_PNC,20,24,-0.01477272727272716
17,coex_ATC,24,25,0.062074829931972664
18,coex_BRO,21,32,0.22084367245657566
19,coex_SKN,27,26,0.0
20,coex_ADS,26,21,-0.39678362573099424
21,coex_GEJ,20,22,-0.14155844155844166
22,coex_BRB,16,24,-0.018749999999999822
23,coex_UTR,10,19,-0.15268199233716473
24,coex_STM,26,27,0.17091329355480278
25,coex_HRA,20,21,-0.023934837092732142
26,coex_PRS,23,25,-0.048297101449275015
27,coex_ATA,21,22,0.023809523809523725
28,coex_FIB,12,19,0.07357102433503115
29,coex_BRC,18,23,-0.03411099328384548
30,coex_ATT,23,22,-0.04958278436539265
31,coex_TNV,25,19,0.10727272727272696
32,coex_SPL,27,23,-0.08824476650563584
33,coex_LCL,17,13,-0.11447963800904981
34,coex_CLS,23,26,-0.008702477646577167
35,coex_EMC,29,25,0.09332884097035032
36,coex_CLT,27,28,0.14835164835164827
37,coex_core,29,27,-0.017024354955389454
38,coex_WBL,23,23,0.1392841458058851
39,co-essential,2,6,-0.916666666666667
40,GOBP,15,21,0.20473970473970482
41,ppi,50,48,0.07925170068027199
42,reactome_copathway,17,10,-0.375
43,MP,21,20,0.2622807017543862
44,HP,44,43,0.5966076158538067
45,GI_net,22,19,-0.09332153914197239
46,gene_gene_on_CbG_name_mapped,15,9,-0.07222222222222241
47,gene_gene_on_GcG_name_mapped,28,31,-0.08348629227524795
48,GOMF,7,3,
