,Layer,Chorea nodes,Coarctation_of_aorta nodes,sAB
0,coex_KDN,41,45,0.08997289972899725
1,coex_BST,35,36,0.01493930905695584
2,coex_OVR,37,41,-0.04170181551439578
3,coex_LNG,39,42,0.047076380409713625
4,coex_ITI,42,42,-0.011904761904762085
5,coex_VGN,40,43,0.00981017091622327
6,coex_HRV,16,16,-0.0625
7,coex_MSG,41,42,-0.08544631487622967
8,coex_ADV,31,36,0.2055555555555555
9,coex_EMS,36,37,0.04166666666666652
10,coex_SMU,35,36,-0.18488710038005807
11,coex_ARG,37,35,0.016645216645216676
12,coex_TST,43,45,0.1619567770730561
13,coex_PIT,41,39,0.1127814258911819
14,coex_LVR,33,35,-0.327782021899669
15,coex_THY,32,33,-0.029233870967741993
16,coex_PNC,37,38,0.07937411095305835
17,coex_ATC,35,39,0.04818724894427873
18,coex_BRO,42,37,0.2758133359399184
19,coex_SKN,39,42,-0.015398182064848775
20,coex_ADS,30,23,-0.17357142857142893
21,coex_GEJ,40,37,0.13527397260273988
22,coex_BRB,26,18,0.0034965034965037667
23,coex_UTR,30,37,0.018737394110528438
24,coex_STM,39,39,-0.11842105263157898
25,coex_HRA,40,38,0.08755060728744946
26,coex_PRS,34,40,-0.028766090208475426
27,coex_ATA,30,32,0.08279569892473093
28,coex_FIB,33,36,0.0703717850776675
29,coex_BRC,43,37,-0.015147705845380388
30,coex_ATT,34,36,0.021195144724556414
31,coex_TNV,16,15,-0.4104166666666669
32,coex_SPL,36,40,-0.03421052631578947
33,coex_LCL,26,34,-0.0003016591251885359
34,coex_CLS,35,36,-2.220446049250313e-16
35,coex_EMC,39,40,-0.024975657254138195
36,coex_CLT,38,40,0.041278677462887936
37,coex_core,41,42,-0.024747071911338736
38,coex_WBL,36,30,0.1237373737373737
39,co-essential,11,17,0.8610576923076927
40,GOBP,20,11,0.4622004357298479
41,ppi,49,50,0.25257884972170674
42,reactome_copathway,18,22,0.5340277777777778
43,MP,12,12,0.6507575757575754
44,HP,42,45,1.0351395730706074
45,GI_net,20,29,0.16602389594676348
46,gene_gene_on_CbG_name_mapped,12,5,-0.09313725490196068
47,gene_gene_on_GcG_name_mapped,39,38,0.09200448674132877
48,GOMF,3,3,
