,Layer,Sinusitis nodes,Otitis_media nodes,sAB
0,coex_KDN,39,35,-0.19753577106518283
1,coex_BST,21,27,-0.28281573498964785
2,coex_OVR,26,32,-0.5767214912280703
3,coex_LNG,41,43,-0.29707884288145214
4,coex_ITI,34,32,-0.2934213458110517
5,coex_VGN,27,30,-0.6983516483516483
6,coex_HRV,21,21,-0.7021196283391404
7,coex_MSG,35,42,-0.4251604621309373
8,coex_ADV,23,29,-0.3710389610389606
9,coex_EMS,19,27,-0.8519366047970169
10,coex_SMU,26,27,-0.7160968660968661
11,coex_ARG,19,21,-0.775501253132832
12,coex_TST,36,35,-0.15541582830315237
13,coex_PIT,31,36,-0.3735651445328865
14,coex_LVR,26,32,-0.615953947368421
15,coex_THY,33,32,-0.6969187062937061
16,coex_PNC,25,27,-0.44573152337858213
17,coex_ATC,33,34,-0.11955596349801789
18,coex_BRO,32,35,-0.4342134581105168
19,coex_SKN,27,31,-0.4169319186560567
20,coex_ADS,30,30,-0.49377974451031204
21,coex_GEJ,29,35,-0.7289111046717536
22,coex_BRB,28,30,-0.3802225871191387
23,coex_UTR,18,19,-0.2777777777777777
24,coex_STM,33,33,-0.28787878787878807
25,coex_HRA,19,26,-0.4892676767676769
26,coex_PRS,26,34,-0.5346153846153845
27,coex_ATA,25,31,-0.2833333333333332
28,coex_FIB,19,24,-0.3822599978206389
29,coex_BRC,22,29,-0.5049326940807675
30,coex_ATT,29,29,-0.46551724137931005
31,coex_TNV,19,22,-1.1643939393939395
32,coex_SPL,32,31,-0.5898617511520736
33,coex_LCL,23,19,-0.8656565656565658
34,coex_CLS,28,30,-0.261613084435226
35,coex_EMC,33,33,-0.5303030303030303
36,coex_CLT,31,33,-0.542842741935484
37,coex_core,35,36,-0.3142857142857143
38,coex_WBL,35,30,-0.3413210445468511
39,co-essential,5,8,-0.8807692307692312
40,GOBP,18,14,0.326674403183024
41,ppi,48,49,-0.1526842695841224
42,reactome_copathway,18,26,-0.21914473684210534
43,MP,13,14,0.381562881562882
44,HP,44,35,-0.15970793911970382
45,GI_net,23,26,-0.395177803562897
46,gene_gene_on_CbG_name_mapped,8,8,-0.25
47,gene_gene_on_GcG_name_mapped,24,26,-0.11749999999999994
48,GOMF,4,6,
