,Layer,Cerebral_edema nodes,Rosacea nodes,sAB
0,coex_KDN,42,30,0.033333333333333215
1,coex_BST,33,18,0.4799305555555555
2,coex_OVR,36,26,-0.05472842569616754
3,coex_LNG,40,27,-0.013490241102181333
4,coex_ITI,43,29,0.1031364162879802
5,coex_VGN,36,25,0.19861111111111107
6,coex_HRV,25,16,0.24247967479674815
7,coex_MSG,37,32,0.02568057187622408
8,coex_ADV,36,20,0.11868686868686895
9,coex_EMS,36,23,0.19305120167189171
10,coex_SMU,35,21,0.24761904761904763
11,coex_ARG,35,19,-0.01832358674463963
12,coex_TST,38,27,-0.007010046483730603
13,coex_PIT,37,26,0.08490908490908478
14,coex_LVR,39,23,0.13925047829838322
15,coex_THY,35,24,0.12771388216303503
16,coex_PNC,32,22,-0.050031565656565746
17,coex_ATC,38,28,0.10658269605638004
18,coex_BRO,38,23,0.3124413850020633
19,coex_SKN,38,28,-0.0024801587301586103
20,coex_ADS,34,18,0.7131944444444445
21,coex_GEJ,37,28,0.08581349206349209
22,coex_BRB,19,20,0.2105263157894739
23,coex_UTR,29,16,-0.07626915708812243
24,coex_STM,40,25,0.19461538461538463
25,coex_HRA,36,22,0.14428770463253215
26,coex_PRS,36,24,0.06111111111111134
27,coex_ATA,34,25,0.16531440162271815
28,coex_FIB,33,19,0.07902554961378505
29,coex_BRC,38,20,0.14843527738264584
30,coex_ATT,38,25,0.19783783783783804
31,coex_TNV,23,19,0.2849515092078021
32,coex_SPL,40,27,-0.33993228302929834
33,coex_LCL,32,20,-0.12908496732026165
34,coex_CLS,38,28,0.17893525393525378
35,coex_EMC,36,25,-0.0472222222222225
36,coex_CLT,39,27,-0.0282310282310283
37,coex_core,41,32,0.26502619244554726
38,coex_WBL,36,25,-0.04470856102003662
39,co-essential,20,9,-0.3767857142857145
40,GOBP,31,21,0.8219086021505375
41,ppi,50,47,0.09555823645536288
42,reactome_copathway,17,19,-0.20234728506787336
43,MP,10,10,-0.6114035087719296
44,HP,41,25,0.5351810790835181
45,GI_net,24,18,0.01388888888888884
46,gene_gene_on_CbG_name_mapped,30,13,0.36690518783542037
47,gene_gene_on_GcG_name_mapped,29,27,-0.15991607370917715
48,GOMF,11,10,
