,Layer,Nocturia nodes,Glaucoma nodes,sAB
0,coex_KDN,41,16,0.12895806589644865
1,coex_BST,24,13,0.2565835065835067
2,coex_OVR,27,14,-0.20341334365724606
3,coex_LNG,31,13,0.333295736521543
4,coex_ITI,30,19,0.21976369495166503
5,coex_VGN,31,16,0.2660217913520935
6,coex_HRV,13,5,-0.3017094017094015
7,coex_MSG,31,17,0.03427419354838701
8,coex_ADV,23,7,-0.10064935064935066
9,coex_EMS,28,7,-0.04586834733893541
10,coex_SMU,26,6,0.6674679487179489
11,coex_ARG,25,6,0.23172043010752663
12,coex_TST,34,27,0.052305439479981564
13,coex_PIT,38,15,0.41640185369083094
14,coex_LVR,30,11,0.12753141167775306
15,coex_THY,29,6,1.3871921182266012
16,coex_PNC,28,9,0.9074074074074074
17,coex_ATC,27,8,0.0655150949268597
18,coex_BRO,31,19,0.24583333333333313
19,coex_SKN,31,13,0.0702684412361827
20,coex_ADS,18,7,0.3425854037267082
21,coex_GEJ,24,6,0.3650862068965517
22,coex_BRB,18,19,-0.16666666666666696
23,coex_UTR,28,7,-0.2857142857142856
24,coex_STM,30,11,0.11650849150849174
25,coex_HRA,30,3,0.37442396313364057
26,coex_PRS,31,12,0.1979472140762466
27,coex_ATA,23,4,0.5926573426573429
28,coex_FIB,26,8,0.191742081447964
29,coex_BRC,29,14,0.006243555962882397
30,coex_ATT,23,6,0.8175912043978011
31,coex_TNV,12,8,0.541666666666667
32,coex_SPL,29,8,0.5515873015873018
33,coex_LCL,19,4,0.5020022883295194
34,coex_CLS,28,12,0.3130952380952383
35,coex_EMC,31,13,0.24350904799370587
36,coex_CLT,32,18,0.5036805555555557
37,coex_core,33,12,0.2639735772357723
38,coex_WBL,25,7,0.042857142857142705
39,co-essential,13,6,0.541666666666667
40,GOBP,20,23,1.303398356029935
41,ppi,47,50,0.22611318271550762
42,reactome_copathway,16,16,0.44047619047619024
43,MP,19,31,1.2832272694023845
44,HP,35,49,0.42380952380952386
45,GI_net,26,16,0.026153846153845972
46,gene_gene_on_CbG_name_mapped,11,10,0.2047619047619047
47,gene_gene_on_GcG_name_mapped,35,29,0.02883312807881766
48,GOMF,3,3,
