,Layer,Primary_dilated_cardiomyopathy nodes,Immunodeficiency nodes,sAB
0,coex_KDN,33,34,0.2678870149458388
1,coex_BST,23,13,0.1710289710289712
2,coex_OVR,27,13,0.12898860398860412
3,coex_LNG,23,26,0.6835869565217392
4,coex_ITI,31,35,0.32361402038821385
5,coex_VGN,29,19,0.21398467432950197
6,coex_HRV,37,8,0.9601614601614603
7,coex_MSG,42,18,0.012698412698412653
8,coex_ADV,23,17,0.577271460423634
9,coex_EMS,30,11,0.28787878787878807
10,coex_SMU,32,10,0.7825892857142858
11,coex_ARG,23,8,0.12277432712215308
12,coex_TST,34,19,-0.20404411764705888
13,coex_PIT,25,13,-0.0012955465587047854
14,coex_LVR,21,16,0.5450852638352639
15,coex_THY,27,32,0.850141793690181
16,coex_PNC,14,11,-0.195238095238095
17,coex_ATC,34,22,0.8282085561497325
18,coex_BRO,27,12,-0.014001349527665408
19,coex_SKN,27,14,0.09162472577106717
20,coex_ADS,22,15,0.00036075036075011724
21,coex_GEJ,22,17,0.5525974025974025
22,coex_BRB,18,11,0.15935214211076287
23,coex_UTR,21,10,0.3825652841781877
24,coex_STM,31,17,0.5524193548387095
25,coex_HRA,39,8,0.12789825422804135
26,coex_PRS,39,17,0.3258457229045466
27,coex_ATA,19,16,-0.09346804511278206
28,coex_FIB,15,7,0.010389610389609949
29,coex_BRC,26,11,0.026623376623376327
30,coex_ATT,26,13,0.20405982905982922
31,coex_TNV,21,12,-0.0029491833030852455
32,coex_SPL,25,32,0.9150109649122808
33,coex_LCL,17,13,0.3446969696969693
34,coex_CLS,29,22,0.34472495894909727
35,coex_EMC,23,26,0.4764285206005834
36,coex_CLT,27,28,0.5339845339845337
37,coex_core,35,35,0.7625924996864415
38,coex_WBL,29,31,0.7746228753195556
39,co-essential,9,3,0.19444444444444464
40,GOBP,19,29,1.988791423001949
41,ppi,50,49,0.3727870542156255
42,reactome_copathway,18,23,0.6243464052287582
43,MP,20,17,1.8106120826709065
44,HP,43,50,0.5300325081270318
45,GI_net,16,15,0.09999999999999964
46,gene_gene_on_CbG_name_mapped,11,4,-0.4606060606060607
47,gene_gene_on_GcG_name_mapped,31,30,-0.12842411422527777
48,GOMF,1,6,
