,Layer,Exanthem nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,41,33,0.10553125187271561
1,coex_BST,26,27,-0.058114630467571704
2,coex_OVR,36,20,0.16944444444444473
3,coex_LNG,38,29,0.2302665438686784
4,coex_ITI,41,29,0.036741559533821855
5,coex_VGN,34,25,0.14057603686635933
6,coex_HRV,26,9,0.1975163398692814
7,coex_MSG,39,29,0.29133510167992926
8,coex_ADV,31,19,-0.13768349445041173
9,coex_EMS,29,19,0.15875927284584623
10,coex_SMU,26,21,-0.02224080267558559
11,coex_ARG,28,20,0.4816889632107024
12,coex_TST,31,31,0.20967741935483897
13,coex_PIT,30,30,0.06666666666666665
14,coex_LVR,33,18,0.11215277777777777
15,coex_THY,34,20,-0.06928104575163374
16,coex_PNC,28,19,-0.05926501035196674
17,coex_ATC,37,21,0.10218346425242952
18,coex_BRO,31,30,0.1973118279569892
19,coex_SKN,32,20,-0.043990384615384404
20,coex_ADS,36,20,0.11539961013645206
21,coex_GEJ,36,17,0.1292366946778709
22,coex_BRB,26,22,0.1581910996804612
23,coex_UTR,21,20,0.16007326007325995
24,coex_STM,38,21,0.3998555711312175
25,coex_HRA,25,18,0.29960317460317487
26,coex_PRS,26,28,-0.055649626404343344
27,coex_ATA,31,19,0.015585738539898308
28,coex_FIB,21,19,0.0012820512820512775
29,coex_BRC,24,31,0.1821114369501462
30,coex_ATT,31,20,0.01804915514592942
31,coex_TNV,20,17,0.8222222222222224
32,coex_SPL,39,21,0.0816927422859628
33,coex_LCL,22,16,-0.03968253968253954
34,coex_CLS,37,25,0.2888888888888892
35,coex_EMC,35,21,0.2701298701298702
36,coex_CLT,37,27,0.046424067735543195
37,coex_core,45,24,0.2440175261206603
38,coex_WBL,37,22,0.20296897883104803
39,co-essential,6,8,0.3434065934065931
40,GOBP,19,26,1.229166666666667
41,ppi,50,50,0.32000000000000006
42,reactome_copathway,19,18,0.13230134158926754
43,MP,11,24,2.433712121212121
44,HP,49,49,0.7653061224489797
45,GI_net,19,17,0.05024509803921573
46,gene_gene_on_CbG_name_mapped,13,10,0.03996655518394654
47,gene_gene_on_GcG_name_mapped,25,37,-0.06615518744551019
48,GOMF,8,4,
