,Layer,Infection_of_bone nodes,Sepsis nodes,sAB
0,coex_KDN,36,39,-0.394871794871795
1,coex_BST,19,22,-0.6190191387559809
2,coex_OVR,23,30,-0.5729603729603729
3,coex_LNG,31,34,-0.6153470185728251
4,coex_ITI,34,34,-0.28342245989304793
5,coex_VGN,27,26,-0.39405731523378584
6,coex_HRV,22,24,-0.5094696969696972
7,coex_MSG,31,36,-0.40016316268121765
8,coex_ADV,25,32,-0.6088238310090235
9,coex_EMS,25,28,-1.034220779220779
10,coex_SMU,18,29,-0.7615350126355263
11,coex_ARG,19,27,-0.41666666666666674
12,coex_TST,25,32,-0.20899122807017556
13,coex_PIT,24,33,-0.401116427432217
14,coex_LVR,29,35,-0.45804758685083224
15,coex_THY,24,30,-0.5627981999566254
16,coex_PNC,23,29,-0.30999884673048084
17,coex_ATC,27,31,-0.36549707602339176
18,coex_BRO,23,33,-0.36333051006964046
19,coex_SKN,22,30,-0.24860139860139863
20,coex_ADS,25,26,-0.4535143288084469
21,coex_GEJ,27,27,-0.8703703703703705
22,coex_BRB,20,30,-0.3016666666666665
23,coex_UTR,13,24,-0.6861001317523057
24,coex_STM,29,35,-0.1253968253968254
25,coex_HRA,21,28,-0.5773809523809526
26,coex_PRS,22,32,-0.3439746181491463
27,coex_ATA,20,31,-0.72
28,coex_FIB,12,23,-0.37520703933747424
29,coex_BRC,19,29,-0.5313823351482154
30,coex_ATT,17,29,-0.6098972922502333
31,coex_TNV,16,19,-0.745220588235294
32,coex_SPL,33,38,-0.30780075187969924
33,coex_LCL,17,22,-0.5437580437580438
34,coex_CLS,29,28,-0.49295334295334303
35,coex_EMC,29,28,-0.4922679172679172
36,coex_CLT,30,31,-0.4977011494252874
37,coex_core,33,36,-0.285187482768128
38,coex_WBL,32,32,-0.265625
39,co-essential,8,11,-0.5499401913875599
40,GOBP,17,11,0.04656862745098067
41,ppi,50,50,-0.24
42,reactome_copathway,24,30,-0.1830849281241731
43,MP,11,8,-0.58389037433155
44,HP,36,28,-0.10019841269841256
45,GI_net,23,24,-0.7076780758556895
46,gene_gene_on_CbG_name_mapped,18,18,-0.25
47,gene_gene_on_GcG_name_mapped,30,33,-0.3080808080808082
48,GOMF,6,7,
