,Layer,Bladder_neoplasm nodes,Osteosarcoma nodes,sAB
0,coex_KDN,36,42,-0.30952380952380953
1,coex_BST,21,35,-0.427380952380952
2,coex_OVR,22,32,-0.3450652356902353
3,coex_LNG,27,37,-0.26837775275275266
4,coex_ITI,32,40,-0.2475694444444445
5,coex_VGN,28,37,-0.29905702405702406
6,coex_HRV,17,16,-0.4375
7,coex_MSG,29,38,-0.2111561069426009
8,coex_ADV,20,23,-0.12406015037593954
9,coex_EMS,24,35,-0.10141357892482339
10,coex_SMU,18,31,-0.36008704557091664
11,coex_ARG,20,34,-0.23944193061840147
12,coex_TST,28,41,-0.2360690299449577
13,coex_PIT,26,37,-0.4362109362109361
14,coex_LVR,25,38,-0.4517897566496889
15,coex_THY,23,34,-0.685377125678647
16,coex_PNC,22,34,-0.4820473644003056
17,coex_ATC,22,36,-0.4547619047619045
18,coex_BRO,24,34,-0.2650862068965518
19,coex_SKN,24,37,-0.4542349726775954
20,coex_ADS,20,31,-0.5202877925363696
21,coex_GEJ,24,35,-0.38803325609922323
22,coex_BRB,21,24,-0.8391472868217051
23,coex_UTR,17,31,-0.1329459203036052
24,coex_STM,25,40,-0.26249999999999996
25,coex_HRA,19,32,-0.1932210384153661
26,coex_PRS,24,38,-0.31475279106858056
27,coex_ATA,19,30,-0.5835839598997494
28,coex_FIB,23,37,-0.35620915032679723
29,coex_BRC,25,36,-0.2325774134790528
30,coex_ATT,16,36,-0.2590476190476192
31,coex_TNV,19,21,-0.20249662618083697
32,coex_SPL,23,33,-0.48515433841520816
33,coex_LCL,15,31,-0.4513896897704994
34,coex_CLS,24,36,-0.3416666666666668
35,coex_EMC,23,33,-0.3489553924336535
36,coex_CLT,29,38,-0.22552296432893448
37,coex_core,31,40,-0.10812093953023472
38,coex_WBL,28,36,-0.23346560846560838
39,co-essential,10,16,-1.0639423076923076
40,GOBP,15,9,-0.382142857142858
41,ppi,50,50,-0.04999999999999982
42,reactome_copathway,21,29,-0.11126889380956961
43,MP,9,10,-1.0
44,HP,18,28,-0.12249827467218766
45,GI_net,20,28,-0.1271929824561404
46,gene_gene_on_CbG_name_mapped,20,17,-0.23859300476947554
47,gene_gene_on_GcG_name_mapped,29,30,-0.2883498928501853
48,GOMF,4,5,
