,Layer,beta_Thalassemia nodes,Narcolepsy nodes,sAB
0,coex_KDN,29,31,-0.08021876158694852
1,coex_BST,20,19,-0.02631578947368407
2,coex_OVR,25,19,-0.06547619047619069
3,coex_LNG,30,24,0.3208333333333333
4,coex_ITI,24,26,0.21173076923076906
5,coex_VGN,27,22,0.17788461538461542
6,coex_HRV,15,12,0.027272727272726893
7,coex_MSG,28,22,0.109935064935065
8,coex_ADV,22,18,0.3125371360665481
9,coex_EMS,20,21,0.27500000000000036
10,coex_SMU,19,21,0.2699874686716792
11,coex_ARG,21,22,0.15959428168730527
12,coex_TST,24,28,0.0006868131868131844
13,coex_PIT,25,26,-0.11689291101055788
14,coex_LVR,31,22,0.29382183908045967
15,coex_THY,21,22,0.2411599953320107
16,coex_PNC,23,19,-0.13065271875340523
17,coex_ATC,20,22,0.11406926406926399
18,coex_BRO,27,32,-0.2502354048964217
19,coex_SKN,23,24,-0.09090909090909083
20,coex_ADS,19,17,0.244410044719642
21,coex_GEJ,21,20,0.13421052631578956
22,coex_BRB,18,22,-0.15983851674641159
23,coex_UTR,19,18,-0.19332645338837318
24,coex_STM,23,24,0.021739130434782705
25,coex_HRA,20,20,0.1499999999999999
26,coex_PRS,24,25,0.0573979591836733
27,coex_ATA,17,21,0.3524988942945595
28,coex_FIB,19,16,-0.054974082934609036
29,coex_BRC,26,25,0.11093137254901952
30,coex_ATT,19,22,0.22295321637426913
31,coex_TNV,13,13,0.11538461538461542
32,coex_SPL,34,23,0.8614718614718613
33,coex_LCL,12,14,0.04782051282051292
34,coex_CLS,23,25,-0.0820035460992905
35,coex_EMC,26,22,0.27462754636667697
36,coex_CLT,24,22,-0.2601284584980237
37,coex_core,30,27,0.447209653092006
38,coex_WBL,36,23,0.5978241057188427
39,co-essential,10,9,-0.46854575163398704
40,GOBP,23,22,1.4602813852813856
41,ppi,50,49,0.271655328798186
42,reactome_copathway,16,18,0.18519715578539087
43,MP,16,12,1.7414918414918414
44,HP,36,28,0.669890873015873
45,GI_net,16,17,-0.03615196078431371
46,gene_gene_on_CbG_name_mapped,13,11,-0.20163170163170174
47,gene_gene_on_GcG_name_mapped,30,26,-0.14505494505494476
48,GOMF,2,12,
