,Layer,Epilepsy nodes,Malnutrition nodes,sAB
0,coex_KDN,21,37,-0.058802645009541576
1,coex_BST,15,31,0.19999999999999973
2,coex_OVR,7,28,0.3250000000000002
3,coex_LNG,13,30,0.24404761904761907
4,coex_ITI,16,32,0.14760638297872353
5,coex_VGN,18,33,0.36263888888888873
6,coex_HRV,7,16,-0.049301242236024834
7,coex_MSG,16,40,0.3535714285714284
8,coex_ADV,11,26,0.18282828282828234
9,coex_EMS,12,30,0.3921308576480995
10,coex_SMU,12,25,-0.22916666666666696
11,coex_ARG,21,25,0.16948240165631479
12,coex_TST,21,29,-0.07303776683087038
13,coex_PIT,27,28,0.12896825396825395
14,coex_LVR,14,30,-0.07943722943722942
15,coex_THY,13,30,0.5094812164579605
16,coex_PNC,19,30,0.24326981246219015
17,coex_ATC,14,29,0.33333333333333326
18,coex_BRO,30,24,0.3657407407407409
19,coex_SKN,14,31,0.35714285714285676
20,coex_ADS,9,27,0.3009157509157512
21,coex_GEJ,14,32,0.6588089330024811
22,coex_BRB,25,17,0.8503081232492997
23,coex_UTR,15,24,0.19940476190476186
24,coex_STM,17,32,0.21546743697478998
25,coex_HRA,14,24,-0.16904761904761934
26,coex_PRS,14,27,0.025641025641025994
27,coex_ATA,12,25,0.413365800865801
28,coex_FIB,11,22,0.26136363636363624
29,coex_BRC,29,25,0.20764652014652007
30,coex_ATT,12,29,-0.20765856950067496
31,coex_TNV,10,22,0.7625205254515599
32,coex_SPL,13,30,-0.25238521168753714
33,coex_LCL,9,19,0.33587301587301566
34,coex_CLS,15,34,0.33570487483530975
35,coex_EMC,13,30,0.35891472868217056
36,coex_CLT,14,29,0.08384208384208369
37,coex_core,13,34,0.3956876456876457
38,coex_WBL,14,29,0.6519647153167605
39,co-essential,6,14,0.13095238095238093
40,GOBP,19,19,0.0
41,ppi,49,48,0.13416088084718414
42,reactome_copathway,17,20,0.7738970588235294
43,MP,14,13,0.8055128205128206
44,HP,43,42,0.5271545827633377
45,GI_net,18,20,-0.2416666666666667
46,gene_gene_on_CbG_name_mapped,16,13,0.19421419098143256
47,gene_gene_on_GcG_name_mapped,31,28,0.002274857455283996
48,GOMF,2,5,
