,Layer,Gynecomastia nodes,Precocious_puberty nodes,sAB
0,coex_KDN,33,39,-0.16812354312354305
1,coex_BST,24,29,-0.1971508349598785
2,coex_OVR,30,26,-0.22350427350427382
3,coex_LNG,28,36,-0.25719246031746046
4,coex_ITI,30,36,-0.24087827880931334
5,coex_VGN,27,37,-0.11481794294294279
6,coex_HRV,13,13,-0.46153846153846123
7,coex_MSG,32,35,-0.17436700426439233
8,coex_ADV,21,32,0.04921945193171595
9,coex_EMS,26,33,-0.11251828631138938
10,coex_SMU,23,32,-0.27233201581027666
11,coex_ARG,24,35,-0.4169358819042488
12,coex_TST,36,40,0.018567251461988565
13,coex_PIT,35,36,-0.25714285714285734
14,coex_LVR,23,29,-0.21655518394648854
15,coex_THY,29,35,-0.2634521550555706
16,coex_PNC,25,29,-0.02883780332056185
17,coex_ATC,27,35,-0.14221043608700312
18,coex_BRO,29,36,-0.08753315649867366
19,coex_SKN,26,35,-0.23802017654476648
20,coex_ADS,19,22,-0.13157894736842124
21,coex_GEJ,25,33,-0.14404761904761898
22,coex_BRB,17,25,0.10672268907563032
23,coex_UTR,22,31,-0.3269794721407626
24,coex_STM,29,37,-0.16875653082549635
25,coex_HRA,32,29,-0.14961067853170174
26,coex_PRS,30,27,-0.17179487179487207
27,coex_ATA,29,31,-0.1437755698421972
28,coex_FIB,23,30,-0.3215066994804485
29,coex_BRC,26,34,0.04042232277526381
30,coex_ATT,26,33,-0.42719298245614024
31,coex_TNV,16,20,-0.7222222222222219
32,coex_SPL,26,30,-0.2237179487179488
33,coex_LCL,19,20,-0.1314387917329094
34,coex_CLS,26,34,-0.2365007541478128
35,coex_EMC,24,32,-0.23511904761904723
36,coex_CLT,25,33,-0.15400717703349276
37,coex_core,30,38,-0.19029130409727446
38,coex_WBL,23,29,-0.3555303392259914
39,co-essential,6,11,-0.47916666666666696
40,GOBP,16,14,-0.8214285714285716
41,ppi,50,50,-0.09000000000000008
42,reactome_copathway,20,24,-0.1972222222222224
43,MP,17,10,-0.8783333333333334
44,HP,49,47,-0.08580746128238537
45,GI_net,22,19,-0.25681818181818183
46,gene_gene_on_CbG_name_mapped,14,10,-0.3047619047619049
47,gene_gene_on_GcG_name_mapped,32,36,-0.32516851227732313
48,GOMF,10,7,
