,Layer,Prostatitis nodes,Urinary_bladder_inflammation nodes,sAB
0,coex_KDN,36,35,-0.858953722334004
1,coex_BST,18,18,-1.238302139037433
2,coex_OVR,17,25,-1.1307563025210083
3,coex_LNG,28,27,-1.3148148148148147
4,coex_ITI,28,33,-0.7523862749272583
5,coex_VGN,23,26,-0.81993006993007
6,coex_HRV,12,17,-1.175646551724138
7,coex_MSG,28,27,-0.6531866281866283
8,coex_ADV,23,21,-1.1431591664149803
9,coex_EMS,20,21,-1.2198896631823462
10,coex_SMU,15,19,-0.924251805985552
11,coex_ARG,18,24,-0.6994047619047619
12,coex_TST,24,26,-0.8671794871794871
13,coex_PIT,25,30,-0.9833333333333336
14,coex_LVR,23,24,-1.1087587250861994
15,coex_THY,25,22,-1.0404255319148938
16,coex_PNC,18,22,-1.2205539558480736
17,coex_ATC,24,29,-0.9546703296703298
18,coex_BRO,22,31,-0.8250915750915753
19,coex_SKN,21,26,-0.8837775699477823
20,coex_ADS,18,23,-1.1612755967131867
21,coex_GEJ,21,19,-1.0803258145363406
22,coex_BRB,14,22,-0.48686313686313665
23,coex_UTR,18,18,-1.1844362745098038
24,coex_STM,26,25,-0.6600000000000001
25,coex_HRA,19,19,-0.9438912596807334
26,coex_PRS,20,19,-0.7457827260458838
27,coex_ATA,20,27,-0.9842995169082125
28,coex_FIB,18,16,-0.8235294117647058
29,coex_BRC,18,24,-0.9972016024508075
30,coex_ATT,18,22,-1.29390756302521
31,coex_TNV,12,17,-1.2440476190476188
32,coex_SPL,30,27,-1.065204678362573
33,coex_LCL,18,15,-0.8148284313725487
34,coex_CLS,25,24,-1.058860544217687
35,coex_EMC,27,24,-1.0638003220611918
36,coex_CLT,28,31,-0.655460800065917
37,coex_core,32,29,-0.6221913236929919
38,coex_WBL,28,24,-0.5760073260073262
39,co-essential,6,10,-2.0333333333333337
40,GOBP,15,5,-0.22222222222222232
41,ppi,50,50,-0.42999999999999994
42,reactome_copathway,17,26,-0.4783653846153846
43,MP,12,7,-0.39974937343358397
44,HP,30,25,-0.6048484848484849
45,GI_net,19,22,-0.841161616161616
46,gene_gene_on_CbG_name_mapped,12,19,-0.4385964912280702
47,gene_gene_on_GcG_name_mapped,27,31,-0.6240266963292547
48,GOMF,3,3,
