,Layer,Chorea nodes,Joint_hemorrhage nodes,sAB
0,coex_KDN,41,37,0.131737741493839
1,coex_BST,35,15,0.1171218487394956
2,coex_OVR,37,21,0.3845238095238095
3,coex_LNG,39,21,0.23296703296703303
4,coex_ITI,42,26,0.42582417582417587
5,coex_VGN,40,24,0.11250000000000004
6,coex_HRV,16,24,0.17291666666666705
7,coex_MSG,41,32,0.15319599899766123
8,coex_ADV,31,16,0.1300724637681161
9,coex_EMS,36,16,0.4997329059829063
10,coex_SMU,35,21,0.125
11,coex_ARG,37,15,-0.023317435082141014
12,coex_TST,43,30,0.24246044387809285
13,coex_PIT,41,34,0.13325363347811559
14,coex_LVR,33,40,0.35788190120381924
15,coex_THY,32,19,0.2887266553480474
16,coex_PNC,37,27,0.17380283509315753
17,coex_ATC,35,24,0.27046004842615035
18,coex_BRO,42,27,0.35766045548654235
19,coex_SKN,39,24,0.22319919444744096
20,coex_ADS,30,26,0.08602971102971058
21,coex_GEJ,40,16,0.034469696969696706
22,coex_BRB,26,21,0.3239809835554519
23,coex_UTR,30,13,-0.17629695885509822
24,coex_STM,39,31,0.485113555276691
25,coex_HRA,40,16,0.05803571428571441
26,coex_PRS,34,19,-0.033340148373152356
27,coex_ATA,30,25,0.4621212121212124
28,coex_FIB,33,12,0.11010101010101003
29,coex_BRC,43,19,0.2865913846882773
30,coex_ATT,34,27,0.2119155354449469
31,coex_TNV,16,22,0.14112773487773467
32,coex_SPL,36,35,0.4863445378151261
33,coex_LCL,26,12,-0.1745416745416748
34,coex_CLS,35,25,0.22142857142857153
35,coex_EMC,39,24,0.18860340479192916
36,coex_CLT,38,26,0.5995906432748539
37,coex_core,41,30,0.16323441066923006
38,coex_WBL,36,24,0.5470809792843692
39,co-essential,11,1,
40,GOBP,20,23,1.4714194373401535
41,ppi,49,50,0.49399299113584827
42,reactome_copathway,18,31,1.2765398550724636
43,MP,12,17,2.1979166666666665
44,HP,42,39,1.1086012752679417
45,GI_net,20,10,-0.3461887477313974
46,gene_gene_on_CbG_name_mapped,12,23,0.22432712215320905
47,gene_gene_on_GcG_name_mapped,39,32,0.017408134705670042
48,GOMF,3,5,
