,Layer,Urinary_bladder_inflammation nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,35,41,-0.09964239867962577
1,coex_BST,18,21,-0.0954794079794079
2,coex_OVR,25,22,-0.2883558994197295
3,coex_LNG,27,28,0.0689393939393943
4,coex_ITI,33,39,-0.004953379953379855
5,coex_VGN,26,27,0.1335671665860345
6,coex_HRV,17,15,-0.24732142857142891
7,coex_MSG,27,29,0.016943241943241816
8,coex_ADV,21,20,-0.053571428571428825
9,coex_EMS,21,21,-0.09523809523809534
10,coex_SMU,19,21,-0.18433583959899735
11,coex_ARG,24,17,0.05664155906264945
12,coex_TST,26,28,0.20197395197395207
13,coex_PIT,30,24,0.013877495214656754
14,coex_LVR,24,26,-0.20438877892294038
15,coex_THY,22,28,0.005714285714285783
16,coex_PNC,22,25,-0.3299419729206967
17,coex_ATC,29,26,-0.07076719576719581
18,coex_BRO,31,25,0.004285714285714226
19,coex_SKN,26,24,0.05243669374104165
20,coex_ADS,23,20,-0.0427489177489182
21,coex_GEJ,19,23,-0.03139222779787598
22,coex_BRB,22,19,0.125014587466449
23,coex_UTR,18,19,-0.27927631578947354
24,coex_STM,25,29,0.003831417624520661
25,coex_HRA,19,20,-0.1001686909581645
26,coex_PRS,19,27,0.03947368421052655
27,coex_ATA,27,21,-0.08369565217391317
28,coex_FIB,16,20,-0.3222222222222224
29,coex_BRC,24,22,-0.33319217014869174
30,coex_ATT,22,24,-0.1456804065499715
31,coex_TNV,17,17,-0.11653297682709418
32,coex_SPL,27,32,-0.11637829566854974
33,coex_LCL,15,19,0.0029927760577916906
34,coex_CLS,24,33,-0.29613095238095277
35,coex_EMC,24,29,-0.20461769115442285
36,coex_CLT,31,35,0.08930813019997075
37,coex_core,29,35,-0.12582826233941846
38,coex_WBL,24,27,0.08224400871459703
39,co-essential,10,3,-0.9410256410256408
40,GOBP,5,24,-0.22916666666666696
41,ppi,50,50,0.0
42,reactome_copathway,26,19,0.46794871794871806
43,MP,7,19,0.8438403701561592
44,HP,25,26,0.371628959276018
45,GI_net,22,24,0.0
46,gene_gene_on_CbG_name_mapped,19,14,-0.035999088630667586
47,gene_gene_on_GcG_name_mapped,31,33,-0.12680229716520053
48,GOMF,3,8,
