,Layer,Dystonic_disorder nodes,Goiter nodes,sAB
0,coex_KDN,30,34,0.04148284313725492
1,coex_BST,21,19,0.18137651821862288
2,coex_OVR,24,27,0.2320772946859906
3,coex_LNG,26,27,-0.12370370370370365
4,coex_ITI,29,26,0.05686038099831214
5,coex_VGN,29,26,0.14556305763202304
6,coex_HRV,10,11,0.4500000000000002
7,coex_MSG,24,31,0.12761485826001961
8,coex_ADV,23,19,0.10549655735791807
9,coex_EMS,23,20,0.23972975918055983
10,coex_SMU,18,19,-0.08420262367630782
11,coex_ARG,27,20,0.3690566997203151
12,coex_TST,34,22,0.19977081741787628
13,coex_PIT,30,29,0.028160919540229923
14,coex_LVR,21,22,-0.13744588744588704
15,coex_THY,18,29,0.0838835901198336
16,coex_PNC,19,20,0.38742690058479523
17,coex_ATC,25,24,0.0004421768707481011
18,coex_BRO,27,23,0.08743901601044479
19,coex_SKN,22,21,0.023809523809523725
20,coex_ADS,18,17,0.14739304812834186
21,coex_GEJ,21,23,0.27067363530778143
22,coex_BRB,20,14,0.46215880893300243
23,coex_UTR,17,19,0.213966288269694
24,coex_STM,24,25,0.1394897959183674
25,coex_HRA,23,18,-0.08451160598562524
26,coex_PRS,22,20,-0.1436147186147183
27,coex_ATA,16,19,-0.004276315789473628
28,coex_FIB,16,23,0.24763099219620943
29,coex_BRC,26,23,0.08566433566433584
30,coex_ATT,23,20,-0.2274891774891774
31,coex_TNV,10,10,0.35138888888888875
32,coex_SPL,24,28,0.2737486298867373
33,coex_LCL,19,22,0.13011695906432763
34,coex_CLS,28,22,0.15779220779220804
35,coex_EMC,19,21,-0.08013784461152884
36,coex_CLT,25,26,0.3149924585218704
37,coex_core,23,28,0.6072037510656438
38,coex_WBL,21,21,0.16666666666666652
39,co-essential,6,11,0.027629233511586637
40,GOBP,29,16,0.641575091575092
41,ppi,39,42,0.19176502509835847
42,reactome_copathway,18,10,2.389869281045752
43,MP,8,13,1.1367521367521372
44,HP,40,48,0.602943873807777
45,GI_net,19,20,-0.18421052631578938
46,gene_gene_on_CbG_name_mapped,14,16,-0.07559523809523805
47,gene_gene_on_GcG_name_mapped,27,22,0.017316017316017174
48,GOMF,10,2,
