,Layer,Cirrhosis_of_liver nodes,Ascites nodes,sAB
0,coex_KDN,29,44,0.1059443036887533
1,coex_BST,12,34,0.02153663415853968
2,coex_OVR,16,29,0.01721743295019129
3,coex_LNG,19,32,0.027815402476779827
4,coex_ITI,22,37,0.017646691375504897
5,coex_VGN,15,32,-0.09200561009817632
6,coex_HRV,17,15,-0.18683925182976413
7,coex_MSG,22,39,-0.022908785203867188
8,coex_ADV,12,28,0.08933933933933913
9,coex_EMS,12,31,0.014285714285714235
10,coex_SMU,11,27,0.266702108807372
11,coex_ARG,11,26,0.2152712152712155
12,coex_TST,24,39,0.10790598290598297
13,coex_PIT,20,34,0.17278043593833048
14,coex_LVR,29,31,0.30205784204671837
15,coex_THY,16,30,0.3283764367816091
16,coex_PNC,16,33,-0.0015657172271792419
17,coex_ATC,19,35,-0.338963761605271
18,coex_BRO,18,28,0.21425796425796428
19,coex_SKN,15,35,0.13447802197802172
20,coex_ADS,12,23,0.2880952380952384
21,coex_GEJ,13,29,0.40470219435736654
22,coex_BRB,16,20,0.14141414141414144
23,coex_UTR,11,26,-0.02264957264957257
24,coex_STM,21,38,0.09305042266683694
25,coex_HRA,16,29,0.03551380455951447
26,coex_PRS,15,29,-0.06362126245847177
27,coex_ATA,14,28,-0.047619047619047894
28,coex_FIB,5,28,0.24036796536796556
29,coex_BRC,18,28,0.2124649859943979
30,coex_ATT,16,30,0.2620415982484947
31,coex_TNV,18,13,0.12681436210847963
32,coex_SPL,29,37,0.7299218980253461
33,coex_LCL,11,29,-0.3441697191697193
34,coex_CLS,21,29,0.14734653949620924
35,coex_EMC,14,38,-0.09792250233426714
36,coex_CLT,22,32,0.02149615448459019
37,coex_core,21,38,0.061534261534261336
38,coex_WBL,22,33,0.5822510822510825
39,co-essential,3,10,0.641414141414141
40,GOBP,22,29,0.054814814814815094
41,ppi,50,49,0.060131931560502894
42,reactome_copathway,20,18,-0.03535353535353525
43,MP,18,12,-0.24756182514803227
44,HP,32,43,0.13551787989805675
45,GI_net,12,23,-0.22192513368983935
46,gene_gene_on_CbG_name_mapped,15,10,-0.1433333333333333
47,gene_gene_on_GcG_name_mapped,34,32,-0.24044674688057066
48,GOMF,3,4,
