,Layer,Renal_tubular_acidosis nodes,Cholecystitis nodes,sAB
0,coex_KDN,42,35,0.10497835497835495
1,coex_BST,30,34,-0.033935413245757884
2,coex_OVR,26,31,0.00512820512820511
3,coex_LNG,34,35,0.08778966131907318
4,coex_ITI,31,37,-0.15471306220831837
5,coex_VGN,29,31,0.15357142857142847
6,coex_HRV,15,23,0.21060606060606046
7,coex_MSG,36,37,0.03835513595787554
8,coex_ADV,29,28,-0.11137814930918366
9,coex_EMS,29,29,-0.1206896551724137
10,coex_SMU,28,29,-0.014421830438164474
11,coex_ARG,28,28,-0.1071428571428572
12,coex_TST,33,39,0.1567599067599068
13,coex_PIT,35,35,0.1366047911701993
14,coex_LVR,31,38,0.13648090815273473
15,coex_THY,27,28,0.20208894878706207
16,coex_PNC,29,29,0.2931034482758621
17,coex_ATC,29,29,-0.0036405669345778158
18,coex_BRO,25,33,0.0758928571428572
19,coex_SKN,31,33,0.10014430014430009
20,coex_ADS,20,24,0.3950228832951943
21,coex_GEJ,34,31,0.012791991101223754
22,coex_BRB,15,17,0.16525537634408627
23,coex_UTR,25,28,-0.021199460916442092
24,coex_STM,32,32,-0.046875
25,coex_HRA,33,33,5.827505827493695e-05
26,coex_PRS,29,30,-0.1178063510617573
27,coex_ATA,27,25,-0.10603741496598618
28,coex_FIB,28,28,0.1785714285714286
29,coex_BRC,33,31,-0.014552931387608936
30,coex_ATT,29,30,-0.0517241379310347
31,coex_TNV,11,18,-0.3261764705882353
32,coex_SPL,35,33,0.07464985994397733
33,coex_LCL,25,22,0.21574440052700927
34,coex_CLS,30,36,0.22715517241379324
35,coex_EMC,29,30,0.08739521216835167
36,coex_CLT,29,36,0.05880489242558218
37,coex_core,38,34,0.030411255411255445
38,coex_WBL,32,28,-0.13794642857142891
39,co-essential,17,10,-0.16968325791855188
40,GOBP,32,18,0.6602470930232558
41,ppi,49,50,0.12227375798804374
42,reactome_copathway,15,16,0.10989010989010994
43,MP,19,13,0.7282051282051283
44,HP,41,36,0.3875118783655369
45,GI_net,17,20,-0.07742448330683627
46,gene_gene_on_CbG_name_mapped,17,15,0.08529411764705896
47,gene_gene_on_GcG_name_mapped,34,30,0.012500000000000178
48,GOMF,6,5,
