,Layer,Prostate_neoplasm nodes,Small_cell_lung_carcinoma nodes,sAB
0,coex_KDN,26,34,-0.05021532140176177
1,coex_BST,17,27,-0.22385620915032667
2,coex_OVR,20,27,0.01010638297872335
3,coex_LNG,26,34,-0.10482654600301666
4,coex_ITI,26,35,-0.006611421365519954
5,coex_VGN,22,34,-0.2895339954163483
6,coex_HRV,12,17,-0.06512605042016784
7,coex_MSG,26,40,0.11305361305361328
8,coex_ADV,18,21,-0.12667887667887712
9,coex_EMS,20,29,-0.2690476190476192
10,coex_SMU,19,25,-0.12698564593301453
11,coex_ARG,18,28,-0.2716619981325865
12,coex_TST,28,39,-0.08932671805806147
13,coex_PIT,20,40,0.03483496877787684
14,coex_LVR,24,26,-0.10339743589743611
15,coex_THY,22,24,-0.2607378129117257
16,coex_PNC,17,26,-0.16023887193517838
17,coex_ATC,22,31,-0.1276223776223775
18,coex_BRO,19,44,0.2636852394916911
19,coex_SKN,20,32,-0.2314903846153844
20,coex_ADS,23,22,-0.05329380764163405
21,coex_GEJ,20,31,-0.15138888888888902
22,coex_BRB,13,29,0.7062018441328783
23,coex_UTR,14,23,-0.04858866623572489
24,coex_STM,25,33,-0.004407894736842
25,coex_HRA,19,31,-0.19326888650196938
26,coex_PRS,24,30,-0.0173366147115126
27,coex_ATA,21,22,-0.16482683982683977
28,coex_FIB,18,26,-0.26865200463011685
29,coex_BRC,19,41,0.020367993153615593
30,coex_ATT,19,24,0.1042363433667779
31,coex_TNV,12,11,0.3075757575757576
32,coex_SPL,21,28,-0.09887566137566117
33,coex_LCL,17,13,-0.2657407407407406
34,coex_CLS,25,35,0.07990147783251222
35,coex_EMC,22,34,0.021212121212121238
36,coex_CLT,26,35,0.11952380952380959
37,coex_core,26,33,0.1741197399092136
38,coex_WBL,23,20,-0.11786850477200428
39,co-essential,13,10,-0.38888888888888884
40,GOBP,12,10,0.9871553884711775
41,ppi,50,49,0.08022108843537423
42,reactome_copathway,27,20,0.21955182072829116
43,MP,4,13,2.1458333333333335
44,HP,24,22,0.08053359683794459
45,GI_net,23,22,-0.17657004830917877
46,gene_gene_on_CbG_name_mapped,18,12,0.25277777777777777
47,gene_gene_on_GcG_name_mapped,25,34,-0.01085742771684961
48,GOMF,4,1,
