,Layer,Migraine nodes,Menorrhagia nodes,sAB
0,coex_KDN,27,33,-0.15033670033670044
1,coex_BST,21,22,-0.09607305403197586
2,coex_OVR,21,21,0.07436120789779332
3,coex_LNG,23,28,0.25636341493118975
4,coex_ITI,22,25,-0.2071373307543518
5,coex_VGN,23,27,0.04399355877616751
6,coex_HRV,13,15,-0.08260073260073275
7,coex_MSG,24,29,-0.22922088484059855
8,coex_ADV,18,18,-0.05555555555555536
9,coex_EMS,20,16,0.025694444444444464
10,coex_SMU,18,22,-0.020959595959595845
11,coex_ARG,19,18,-0.08333333333333348
12,coex_TST,24,32,-0.0758928571428572
13,coex_PIT,24,30,0.05448717948717974
14,coex_LVR,25,36,0.27444444444444427
15,coex_THY,19,19,-0.052631578947368585
16,coex_PNC,18,24,0.08333333333333304
17,coex_ATC,23,22,-0.10819060166886274
18,coex_BRO,24,24,0.08333333333333348
19,coex_SKN,21,23,0.11067193675889309
20,coex_ADS,19,17,-0.06209150326797408
21,coex_GEJ,18,19,-0.2489680082559338
22,coex_BRB,19,18,-0.3333333333333335
23,coex_UTR,18,16,0.03982843137254877
24,coex_STM,25,28,0.09648247978436686
25,coex_HRA,16,22,-0.1797462406015038
26,coex_PRS,17,21,0.19946926138876586
27,coex_ATA,20,21,-0.125
28,coex_FIB,14,16,-0.10119047619047628
29,coex_BRC,21,22,0.07142857142857117
30,coex_ATT,21,25,-0.1814909896305248
31,coex_TNV,12,15,-0.05219780219780201
32,coex_SPL,20,32,0.12312500000000015
33,coex_LCL,7,16,-0.13761645962732905
34,coex_CLS,24,19,-0.16095471236230097
35,coex_EMC,24,26,0.10416666666666696
36,coex_CLT,25,24,-0.045454545454545636
37,coex_core,24,27,-0.09730769230769232
38,coex_WBL,18,33,0.384828931572629
39,co-essential,7,7,0.6915584415584419
40,GOBP,20,26,2.0089329268292686
41,ppi,42,50,0.23374741200828164
42,reactome_copathway,25,29,1.781135531135531
43,MP,12,14,1.716753246753247
44,HP,37,46,0.3574879227053138
45,GI_net,19,16,-0.16278594771241828
46,gene_gene_on_CbG_name_mapped,9,16,0.3209722222222222
47,gene_gene_on_GcG_name_mapped,25,29,-0.053461047254150795
48,GOMF,7,4,
