,Layer,Gastrointestinal_hemorrhage nodes,Systemic_mast_cell_disease nodes,sAB
0,coex_KDN,39,43,-0.29761620443621806
1,coex_BST,29,22,-0.19496434937611395
2,coex_OVR,31,27,-0.45610348947390067
3,coex_LNG,35,35,0.042857142857142705
4,coex_ITI,33,35,-0.2662592309651135
5,coex_VGN,36,31,-0.1646505376344085
6,coex_HRV,17,23,-0.6732736572890028
7,coex_MSG,33,37,-0.1800514800514803
8,coex_ADV,30,27,-0.20074224021592446
9,coex_EMS,28,31,0.11867335780676402
10,coex_SMU,30,25,-0.22696969696969704
11,coex_ARG,27,26,-0.17193463419878507
12,coex_TST,34,35,-0.2738034344172453
13,coex_PIT,34,30,-0.1939338235294117
14,coex_LVR,39,31,-0.11420300129977545
15,coex_THY,25,26,-0.39846153846153864
16,coex_PNC,29,23,-0.5070349440664281
17,coex_ATC,33,33,-0.28125
18,coex_BRO,31,33,-0.33266129032258096
19,coex_SKN,34,35,-0.11572890025575444
20,coex_ADS,24,28,-0.39491758241758257
21,coex_GEJ,23,29,0.4209444647424192
22,coex_BRB,16,21,-0.4582931145431146
23,coex_UTR,30,25,-0.10889694041867948
24,coex_STM,34,29,-0.2786712386103867
25,coex_HRA,30,23,-0.3265584415584415
26,coex_PRS,29,28,-0.08985586571793469
27,coex_ATA,28,27,-0.420996805430768
28,coex_FIB,27,24,-0.3511433172302738
29,coex_BRC,30,28,-0.37348927875243665
30,coex_ATT,29,29,-0.36699507389162545
31,coex_TNV,11,20,-0.4885964912280705
32,coex_SPL,40,29,0.02622233659289752
33,coex_LCL,25,22,-0.11328820116054161
34,coex_CLS,31,29,-0.18843239865656458
35,coex_EMC,33,31,-0.297883064516129
36,coex_CLT,34,32,-0.14155844155844166
37,coex_core,38,38,0.017425320056899007
38,coex_WBL,35,34,0.11492510047497251
39,co-essential,14,10,-0.46638795986622084
40,GOBP,21,12,0.47199730094466963
41,ppi,50,49,0.018932178932179022
42,reactome_copathway,28,22,-0.0876477541371159
43,MP,16,11,0.1499999999999999
44,HP,48,26,0.04361573111573125
45,GI_net,27,22,-0.3011363636363633
46,gene_gene_on_CbG_name_mapped,18,18,-0.13888888888888884
47,gene_gene_on_GcG_name_mapped,36,23,-0.07838983050847448
48,GOMF,2,5,
