,Layer,Prostatitis nodes,Otitis_media nodes,sAB
0,coex_KDN,36,35,-0.1672268907563026
1,coex_BST,18,27,-0.14257703081232487
2,coex_OVR,17,32,-0.15255477190876388
3,coex_LNG,28,43,0.05612157007505836
4,coex_ITI,28,32,-0.12485119047619064
5,coex_VGN,23,30,-0.2160839160839163
6,coex_HRV,12,21,-0.33184523809523814
7,coex_MSG,28,42,-0.18663207594808862
8,coex_ADV,23,29,-0.21558441558441555
9,coex_EMS,20,27,-0.39276989755713165
10,coex_SMU,15,27,-0.23862433862433874
11,coex_ARG,18,21,-0.40934065934065966
12,coex_TST,24,35,0.02126715092816789
13,coex_PIT,25,36,-0.323809523809524
14,coex_LVR,23,32,-0.09969486531986504
15,coex_THY,25,32,-0.1871162280701757
16,coex_PNC,18,27,-0.46501104914237557
17,coex_ATC,24,34,-0.02789046653144034
18,coex_BRO,22,35,-0.0960911637382229
19,coex_SKN,21,31,-0.04649859943977619
20,coex_ADS,18,30,-0.24566422313606306
21,coex_GEJ,21,35,-0.31618283677107195
22,coex_BRB,14,30,0.05241884552229381
23,coex_UTR,18,19,-0.031342840166369346
24,coex_STM,26,33,-0.20068965517241377
25,coex_HRA,19,26,-0.1537698412698414
26,coex_PRS,20,34,0.004629629629629761
27,coex_ATA,20,31,-0.18777777777777782
28,coex_FIB,18,24,0.05673382820784756
29,coex_BRC,18,29,-0.20361539088611735
30,coex_ATT,18,29,-0.16813651997530643
31,coex_TNV,12,22,-0.19429590017825316
32,coex_SPL,30,31,-0.18014278159703867
33,coex_LCL,18,19,-0.36909430438842206
34,coex_CLS,25,30,-0.3285568326947639
35,coex_EMC,27,33,-0.22239057239057214
36,coex_CLT,28,33,-0.1074074074074074
37,coex_core,32,36,-0.1105851138109204
38,coex_WBL,28,30,-0.05432900432900434
39,co-essential,6,8,-1.1576923076923076
40,GOBP,15,14,1.9066951566951564
41,ppi,50,49,-0.0016965574108431802
42,reactome_copathway,17,26,0.2438970588235294
43,MP,12,14,0.531135531135531
44,HP,30,35,0.09528186274509798
45,GI_net,19,26,-0.14413364413364427
46,gene_gene_on_CbG_name_mapped,12,8,0.06666666666666643
47,gene_gene_on_GcG_name_mapped,27,26,-0.05660377358490565
48,GOMF,3,6,
