,Layer,Coronary_artery_disorder nodes,Ischemic_stroke nodes,sAB
0,coex_KDN,32,38,-0.16327537593984953
1,coex_BST,20,26,-0.1400084183941912
2,coex_OVR,22,32,-0.31134259259259256
3,coex_LNG,25,35,-0.20333333333333314
4,coex_ITI,37,36,-0.30132872598626026
5,coex_VGN,26,29,-0.2133756235090003
6,coex_HRV,22,24,-0.4015873015873017
7,coex_MSG,30,37,-0.233528304423827
8,coex_ADV,19,25,-0.3170196833547281
9,coex_EMS,20,31,-0.4854680581910178
10,coex_SMU,18,25,-0.3851679586563306
11,coex_ARG,14,26,-0.42655279503105614
12,coex_TST,29,39,0.011195194258074581
13,coex_PIT,27,30,-0.3665661924282615
14,coex_LVR,33,37,-0.11275301275301275
15,coex_THY,19,34,0.08645364799345767
16,coex_PNC,22,31,-0.21314944945498815
17,coex_ATC,20,29,-0.36896551724137927
18,coex_BRO,23,33,0.04778373800112945
19,coex_SKN,21,35,-0.15357142857142847
20,coex_ADS,24,31,-0.3250000000000002
21,coex_GEJ,17,25,-0.06580671580671593
22,coex_BRB,23,26,-0.11735507246376797
23,coex_UTR,11,26,0.22343434343434332
24,coex_STM,24,35,-0.12688660209846647
25,coex_HRA,19,25,-0.0009920634920632665
26,coex_PRS,18,30,-0.16285562892312688
27,coex_ATA,25,32,-0.21719094369865788
28,coex_FIB,22,25,-0.26128129117259546
29,coex_BRC,20,28,0.051785714285714324
30,coex_ATT,22,32,-0.26689708141321056
31,coex_TNV,20,28,-0.5941418764302062
32,coex_SPL,24,35,-0.049909200968522915
33,coex_LCL,9,10,-0.0825163398692812
34,coex_CLS,30,29,-0.10714285714285698
35,coex_EMC,23,30,-0.45484949832775934
36,coex_CLT,28,35,-0.1498378562894691
37,coex_core,30,37,-0.35060060060060083
38,coex_WBL,21,25,0.40616977225672857
39,co-essential,7,2,-1.041666666666666
40,GOBP,16,20,-0.6111111111111112
41,ppi,50,47,-0.15453388901074794
42,reactome_copathway,20,25,-0.060751600943714124
43,MP,13,16,-0.1805555555555558
44,HP,20,36,0.02261904761904754
45,GI_net,10,15,-0.2777777777777777
46,gene_gene_on_CbG_name_mapped,15,15,-0.03333333333333344
47,gene_gene_on_GcG_name_mapped,36,29,-0.1869363395225465
48,GOMF,6,3,
