,Layer,Pulmonary_arterial_hypertension nodes,Ischemic_stroke nodes,sAB
0,coex_KDN,44,38,-0.22719978994048295
1,coex_BST,28,26,-0.243691493691494
2,coex_OVR,37,32,-0.08762974931453194
3,coex_LNG,43,35,-0.10584415584415607
4,coex_ITI,40,36,-0.2948099415204679
5,coex_VGN,39,29,-0.18576741041244094
6,coex_HRV,18,24,-0.46031746031746046
7,coex_MSG,37,37,-0.18918918918918903
8,coex_ADV,27,25,-0.07107843137254921
9,coex_EMS,30,31,-0.3419531112286265
10,coex_SMU,32,25,-0.1256140350877193
11,coex_ARG,33,26,-0.25206482780115325
12,coex_TST,41,39,-0.0006332082551596674
13,coex_PIT,40,30,-0.2381416757684507
14,coex_LVR,38,37,0.10887150308202953
15,coex_THY,36,34,-0.1416433239962651
16,coex_PNC,36,31,-0.18304980473974197
17,coex_ATC,33,29,-0.1509327303561332
18,coex_BRO,35,33,-0.18689839572192524
19,coex_SKN,35,35,-0.3142857142857143
20,coex_ADS,26,31,-0.21923076923076934
21,coex_GEJ,25,25,-0.22537878787878807
22,coex_BRB,24,26,-0.1455272108843535
23,coex_UTR,27,26,0.0017948717948712556
24,coex_STM,36,35,-0.1112620165437066
25,coex_HRA,27,25,-0.30787037037037024
26,coex_PRS,34,30,-0.3591873531021601
27,coex_ATA,30,32,-0.4457165520888422
28,coex_FIB,29,25,-0.3100872912600301
29,coex_BRC,39,28,-0.010599475151714
30,coex_ATT,34,32,-0.14596409283316314
31,coex_TNV,22,28,-0.4119729206963245
32,coex_SPL,39,35,-0.1438570438570439
33,coex_LCL,21,10,-0.07857142857142829
34,coex_CLS,35,29,-0.28320683111954437
35,coex_EMC,36,30,-0.2814102564102565
36,coex_CLT,37,35,-0.2950879450879449
37,coex_core,44,37,-0.14909990491385838
38,coex_WBL,32,25,0.011988636363636118
39,co-essential,11,2,0.595959595959596
40,GOBP,20,20,0.534267040149393
41,ppi,49,47,-0.08314336372846998
42,reactome_copathway,20,25,0.056006864988558114
43,MP,7,16,-0.4848484848484853
44,HP,49,36,0.2465386154461784
45,GI_net,19,15,-0.5303030303030303
46,gene_gene_on_CbG_name_mapped,8,15,-0.2563405797101448
47,gene_gene_on_GcG_name_mapped,25,29,-0.24988505747126433
48,GOMF,4,3,
