,Layer,Head_and_neck_cancer nodes,Colon_cancer nodes,sAB
0,coex_KDN,40,44,-0.27316017316017316
1,coex_BST,29,34,-0.30945136675359786
2,coex_OVR,34,28,-0.7043236649498508
3,coex_LNG,38,39,-0.2872609846294052
4,coex_ITI,35,40,-0.38642857142857134
5,coex_VGN,39,40,-0.6329154495293736
6,coex_HRV,16,19,-0.8613153594771243
7,coex_MSG,40,41,-0.3954795242396869
8,coex_ADV,22,29,-0.5690269838342858
9,coex_EMS,28,34,-0.41648924845646174
10,coex_SMU,24,31,-0.46044721407624634
11,coex_ARG,30,29,-0.4999999999999998
12,coex_TST,36,39,-0.31974358974358963
13,coex_PIT,31,38,-0.39223907344995457
14,coex_LVR,36,38,-0.6859688636004424
15,coex_THY,36,32,-0.8137060234541575
16,coex_PNC,32,36,-0.5509794776119405
17,coex_ATC,32,36,-0.5709946472570733
18,coex_BRO,32,30,-0.21525537634408587
19,coex_SKN,36,38,-0.37725225225225234
20,coex_ADS,25,25,-1.0821428571428573
21,coex_GEJ,34,34,-0.5000000000000002
22,coex_BRB,26,21,-0.5728119398332163
23,coex_UTR,25,30,-0.20277777777777795
24,coex_STM,38,40,-0.5637314439946017
25,coex_HRA,28,32,-0.6705357142857145
26,coex_PRS,28,33,-0.5142732950109996
27,coex_ATA,26,34,-0.5504386839481556
28,coex_FIB,31,31,-0.6239732064163581
29,coex_BRC,33,34,-0.28265091654029306
30,coex_ATT,32,33,-0.464717741935484
31,coex_TNV,19,18,-1.1388888888888888
32,coex_SPL,35,35,-0.5285714285714287
33,coex_LCL,26,28,-0.3653846153846154
34,coex_CLS,35,42,-0.5649350649350646
35,coex_EMC,36,38,-0.3244257905036565
36,coex_CLT,35,39,-0.24737702098383219
37,coex_core,35,40,-0.31997217806041345
38,coex_WBL,32,35,-0.573920575692964
39,co-essential,22,19,-0.6764354066985645
40,GOBP,12,8,0.46190476190476204
41,ppi,50,49,-0.16061636775922472
42,reactome_copathway,27,38,-0.06603174603174611
43,MP,11,16,-0.004347826086956719
44,HP,39,34,-0.36890741544246763
45,GI_net,32,28,-0.41369467984934094
46,gene_gene_on_CbG_name_mapped,19,15,-0.5124871001031992
47,gene_gene_on_GcG_name_mapped,35,35,-0.24285714285714288
48,GOMF,7,2,
