,Layer,Head_and_neck_neoplasm nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,41,45,-0.5838784899476903
1,coex_BST,30,42,-0.5166666666666664
2,coex_OVR,36,38,-0.7200489963647858
3,coex_LNG,37,42,-0.4119463043513676
4,coex_ITI,38,44,-0.5352724938732643
5,coex_VGN,38,42,-0.518984962406015
6,coex_HRV,20,17,-0.9989268680445151
7,coex_MSG,41,45,-0.41939875212705635
8,coex_ADV,24,38,-0.5525254668930388
9,coex_EMS,31,41,-0.5190248273450475
10,coex_SMU,28,38,-0.6350820232399181
11,coex_ARG,30,38,-0.5488038277511962
12,coex_TST,37,43,-0.4882699560025139
13,coex_PIT,31,41,-0.41167278608269964
14,coex_LVR,36,39,-0.5314102564102565
15,coex_THY,36,36,-1.0555555555555554
16,coex_PNC,34,39,-0.6501477303250067
17,coex_ATC,34,42,-0.5793181818181818
18,coex_BRO,34,39,-0.4778249550610547
19,coex_SKN,37,45,-0.41366000146487947
20,coex_ADS,26,32,-0.8124137931034481
21,coex_GEJ,35,37,-0.5782613782613781
22,coex_BRB,29,24,-0.6332359030568748
23,coex_UTR,26,38,-0.7196988866396761
24,coex_STM,39,43,-0.5210305859767004
25,coex_HRA,31,38,-0.5656346749226004
26,coex_PRS,30,44,-0.4764537264537265
27,coex_ATA,31,37,-0.531069192359515
28,coex_FIB,31,41,-0.6164261994732625
29,coex_BRC,32,39,-0.4118476886962803
30,coex_ATT,34,37,-0.5240159946042298
31,coex_TNV,19,17,-0.9411764705882355
32,coex_SPL,36,41,-0.46744447963960134
33,coex_LCL,24,35,-0.4697430696416498
34,coex_CLS,36,43,-0.5067584142871162
35,coex_EMC,37,42,-0.45268620268620263
36,coex_CLT,38,44,-0.5025328358661694
37,coex_core,37,44,-0.39015151515151514
38,coex_WBL,34,41,-0.48247728359636555
39,co-essential,17,22,-1.2672098569157393
40,GOBP,11,14,0.6858974358974361
41,ppi,49,48,-0.2258661196437337
42,reactome_copathway,34,37,-0.5328367710720652
43,MP,9,15,0.46428571428571486
44,HP,33,42,-0.24783549783549796
45,GI_net,33,37,-0.42408441049745393
46,gene_gene_on_CbG_name_mapped,21,14,-0.41666666666666663
47,gene_gene_on_GcG_name_mapped,28,35,-0.392063492063492
48,GOMF,4,5,-0.6666666666666667
