,Layer,Glioma nodes,Testicular_neoplasm nodes,sAB
0,coex_KDN,37,38,-0.256756756756757
1,coex_BST,24,33,0.06515151515151518
2,coex_OVR,23,34,-0.15278838808250583
3,coex_LNG,31,35,-0.10439882697947223
4,coex_ITI,37,37,0.0
5,coex_VGN,30,39,-0.28060200668896296
6,coex_HRV,12,16,-0.21577380952380976
7,coex_MSG,34,38,-0.22746818025455795
8,coex_ADV,22,31,0.12778730703258967
9,coex_EMS,25,35,-0.19904761904761914
10,coex_SMU,25,32,-0.11151315789473704
11,coex_ARG,20,30,-0.1433333333333333
12,coex_TST,36,40,-0.15146198830409352
13,coex_PIT,30,32,0.12163978494623673
14,coex_LVR,26,34,0.04242273180458622
15,coex_THY,27,31,-0.2853801169590642
16,coex_PNC,25,33,-0.2609613375130615
17,coex_ATC,29,35,-0.03879777717538646
18,coex_BRO,30,30,0.15250340931229323
19,coex_SKN,28,35,-0.13015873015873036
20,coex_ADS,27,26,-0.15717425431711174
21,coex_GEJ,24,36,-0.2637762001352266
22,coex_BRB,25,13,-0.20196638946638945
23,coex_UTR,19,36,-0.25641025641025594
24,coex_STM,34,38,-0.008986928104575131
25,coex_HRA,19,32,-0.08302696078431371
26,coex_PRS,21,31,-0.17295876166843938
27,coex_ATA,27,26,0.21153846153846123
28,coex_FIB,25,32,-0.10475877192982441
29,coex_BRC,31,31,-0.08064516129032295
30,coex_ATT,27,31,0.13735797309651288
31,coex_TNV,22,14,-0.10699300699300673
32,coex_SPL,27,35,-0.29276327018262527
33,coex_LCL,20,29,0.0005671506352087352
34,coex_CLS,30,34,-0.15513216780965267
35,coex_EMC,29,37,-0.11331417624521056
36,coex_CLT,36,37,-0.24673989057550694
37,coex_core,33,36,0.10177865612648218
38,coex_WBL,30,30,-0.033333333333333215
39,co-essential,13,19,0.07161222020568658
40,GOBP,8,11,1.36543062200957
41,ppi,49,50,-0.03074829931972789
42,reactome_copathway,27,29,0.009743589743589576
43,MP,12,9,0.059163059163059195
44,HP,25,36,-0.14499110094075762
45,GI_net,29,31,-0.1666894727239554
46,gene_gene_on_CbG_name_mapped,15,11,-0.22960372960372943
47,gene_gene_on_GcG_name_mapped,26,38,-0.1099443319838056
48,GOMF,3,3,
