,Layer,Benign_Neonatal_Epilepsy nodes,Atypical_absence_seizure nodes,sAB
0,coex_KDN,28,31,-0.62585917363118
1,coex_BST,21,23,-0.5420150987224157
2,coex_OVR,13,17,-0.5009259259259262
3,coex_LNG,19,22,-0.5606255105613258
4,coex_ITI,26,27,-0.3653846153846154
5,coex_VGN,28,27,-0.3463443963443964
6,coex_HRV,17,12,-0.6403820148749155
7,coex_MSG,20,26,-0.37157190635451487
8,coex_ADV,15,19,-0.5700722394220845
9,coex_EMS,20,20,-0.6249999999999998
10,coex_SMU,16,20,-0.5833333333333333
11,coex_ARG,19,25,-0.45464114832535896
12,coex_TST,29,30,-0.2535359438924605
13,coex_PIT,31,29,-0.44786800148312933
14,coex_LVR,20,21,-0.6108885017421601
15,coex_THY,17,23,-1.0623855311355315
16,coex_PNC,22,26,-0.6971153846153846
17,coex_ATC,21,25,-0.6269565217391304
18,coex_BRO,39,40,-0.41025641025641035
19,coex_SKN,21,24,-0.5853692201518288
20,coex_ADS,17,18,-0.8474264705882355
21,coex_GEJ,20,22,-0.7250000000000001
22,coex_BRB,36,33,-0.6727126400085137
23,coex_UTR,10,17,-0.6100217864923745
24,coex_STM,20,29,-0.3084975369458127
25,coex_HRA,19,22,-0.7496947496947495
26,coex_PRS,13,22,-0.6037962037962039
27,coex_ATA,19,24,-1.0161629128253005
28,coex_FIB,12,14,-0.635989010989011
29,coex_BRC,35,39,-0.6455403367168073
30,coex_ATT,18,20,-0.6520467836257309
31,coex_TNV,18,23,-0.5089572192513367
32,coex_SPL,16,23,-0.3982371794871795
33,coex_LCL,5,10,-0.842857142857143
34,coex_CLS,27,25,-0.596096866096866
35,coex_EMC,20,23,-0.4725227502527807
36,coex_CLT,27,25,-0.3820227920227919
37,coex_core,22,25,-0.3569609134826526
38,coex_WBL,8,11,-0.9236111111111112
39,co-essential,4,5,-1.5777777777777775
40,GOBP,25,21,-0.771974402409185
41,ppi,48,49,-0.400968248123992
42,reactome_copathway,20,19,-0.9606060606060607
43,MP,10,12,-0.45663875598086134
44,HP,38,37,-0.39949739212897095
45,GI_net,12,14,-0.7087912087912087
46,gene_gene_on_CbG_name_mapped,23,22,-0.33392621870882744
47,gene_gene_on_GcG_name_mapped,33,30,-0.4725108225108223
48,GOMF,7,5,-1.75
