,Layer,Benign_Neonatal_Epilepsy nodes,myoclonic_epilepsy nodes,sAB
0,coex_KDN,28,37,-0.3032298782298779
1,coex_BST,21,29,-0.11547619047619051
2,coex_OVR,13,26,-0.10172064777327927
3,coex_LNG,19,34,-0.11687306501548012
4,coex_ITI,26,35,0.02466063348416281
5,coex_VGN,28,32,-0.02767857142857144
6,coex_HRV,17,13,0.2981900452488686
7,coex_MSG,20,33,-0.11069182389937104
8,coex_ADV,15,30,0.15555555555555545
9,coex_EMS,20,28,-0.3005952380952379
10,coex_SMU,16,29,-0.23275862068965525
11,coex_ARG,19,33,-0.2049441786283892
12,coex_TST,29,38,-0.20127583498117385
13,coex_PIT,31,36,-0.16441314930722717
14,coex_LVR,20,30,-0.2849999999999999
15,coex_THY,17,30,-0.22472826086956532
16,coex_PNC,22,35,-0.26428571428571423
17,coex_ATC,21,30,-0.14117647058823524
18,coex_BRO,39,39,-0.2232635785267365
19,coex_SKN,21,30,-0.346938775510204
20,coex_ADS,17,26,-0.18777439024390263
21,coex_GEJ,20,28,-0.2649724192277385
22,coex_BRB,36,27,-0.39071931140397864
23,coex_UTR,10,25,-0.34571428571428564
24,coex_STM,20,33,0.11785305889079467
25,coex_HRA,19,29,-0.20229069862232008
26,coex_PRS,13,26,-0.37820512820512864
27,coex_ATA,19,31,-0.215574650912997
28,coex_FIB,12,26,-0.2656882591093117
29,coex_BRC,35,38,-0.3615382102489275
30,coex_ATT,18,29,0.2826078095703921
31,coex_TNV,18,18,-0.29816176470588207
32,coex_SPL,16,31,-0.20776853122855177
33,coex_LCL,5,20,-0.4919908466819223
34,coex_CLS,27,34,-0.08201185756634177
35,coex_EMC,20,30,-0.2583333333333333
36,coex_CLT,27,30,-0.14688109161793372
37,coex_core,22,33,0.018181818181818077
38,coex_WBL,8,24,-0.614583333333333
39,co-essential,4,8,0.0625
40,GOBP,25,21,-0.43448804053257906
41,ppi,48,48,-0.20833333333333348
42,reactome_copathway,20,16,-0.36904761904761907
43,MP,10,11,-0.125
44,HP,38,43,-0.21278540882784047
45,GI_net,12,15,-0.3037037037037036
46,gene_gene_on_CbG_name_mapped,23,14,-0.1661071008897097
47,gene_gene_on_GcG_name_mapped,33,35,-0.1645715273897892
48,GOMF,7,7,-1.75
