,Layer,Erythroderma nodes,Blepharitis nodes,sAB
0,coex_KDN,30,39,-0.4554357334208081
1,coex_BST,18,34,-0.4761186525892409
2,coex_OVR,34,39,-0.5508533234157731
3,coex_LNG,28,39,-0.42051282051282035
4,coex_ITI,26,36,-0.22167080231596348
5,coex_VGN,38,38,-0.3157894736842106
6,coex_HRV,11,15,-0.44285714285714306
7,coex_MSG,36,43,-0.26489479512735303
8,coex_ADV,18,34,-0.6506002400960385
9,coex_EMS,28,41,-0.5467436974789917
10,coex_SMU,19,37,-0.3770085875349032
11,coex_ARG,13,35,-0.4009878419452886
12,coex_TST,23,42,-0.3176406926406927
13,coex_PIT,21,37,-0.6326498912705809
14,coex_LVR,25,38,-0.2932247284878866
15,coex_THY,22,26,-0.2936363636363635
16,coex_PNC,18,38,-0.508563074352548
17,coex_ATC,22,34,-0.4529411764705884
18,coex_BRO,20,37,-0.3907657657657657
19,coex_SKN,37,40,-0.47309941520467813
20,coex_ADS,31,25,-0.8047633889148615
21,coex_GEJ,30,41,-0.318695182025712
22,coex_BRB,12,19,-0.47262308998302194
23,coex_UTR,14,33,-0.9050876659572313
24,coex_STM,26,36,-0.278225806451613
25,coex_HRA,18,31,-0.4887826012354153
26,coex_PRS,27,40,-0.474350469872858
27,coex_ATA,20,35,-0.3772727272727274
28,coex_FIB,16,32,-0.28125
29,coex_BRC,20,37,-0.5234962406015036
30,coex_ATT,23,37,-0.3678606836501572
31,coex_TNV,21,18,-0.5188791732909381
32,coex_SPL,27,37,-0.2762919169169169
33,coex_LCL,14,32,-0.4365591397849464
34,coex_CLS,26,39,-0.4762339743589745
35,coex_EMC,35,39,-0.3316338453041021
36,coex_CLT,27,38,-0.5509813961426866
37,coex_core,38,42,-0.21474325132861716
38,coex_WBL,24,36,0.09583333333333321
39,co-essential,6,15,-1.2809523809523804
40,GOBP,22,15,0.9444444444444446
41,ppi,49,50,-0.009738198309626966
42,reactome_copathway,23,29,-0.5792087542087543
43,MP,17,9,0.04444444444444429
44,HP,47,48,-0.08510638297872353
45,GI_net,20,31,-0.5488662131519277
46,gene_gene_on_CbG_name_mapped,8,6,-0.19047619047619047
47,gene_gene_on_GcG_name_mapped,17,32,-0.07174744897959173
48,GOMF,11,6,
