,Layer,Hepatocellular_carcinoma nodes,Thyroid_tumor nodes,sAB
0,coex_KDN,22,42,-0.32474296536796565
1,coex_BST,15,31,-0.197054698457223
2,coex_OVR,16,31,-0.23389434315100543
3,coex_LNG,17,39,-0.18772867998874165
4,coex_ITI,22,37,-0.3291342189647273
5,coex_VGN,21,37,-0.5976053639846743
6,coex_HRV,9,19,-0.7870370370370368
7,coex_MSG,20,40,-0.3250000000000002
8,coex_ADV,13,30,-0.29761904761904745
9,coex_EMS,14,32,-0.1935170807453419
10,coex_SMU,16,33,-0.2609964440321584
11,coex_ARG,18,29,-0.46679601375782687
12,coex_TST,23,38,-0.21071388378287104
13,coex_PIT,17,37,-0.28169345816404623
14,coex_LVR,27,36,-0.27972350230414755
15,coex_THY,16,34,-0.7144209956709959
16,coex_PNC,18,31,-0.32667690732206855
17,coex_ATC,18,34,-0.47549019607843146
18,coex_BRO,14,35,-0.39081632653061193
19,coex_SKN,20,34,-0.24499714122355631
20,coex_ADS,14,26,-1.2928937728937728
21,coex_GEJ,16,29,-0.3685105363984673
22,coex_BRB,10,19,-0.21746031746031713
23,coex_UTR,13,26,-0.6474358974358974
24,coex_STM,20,37,-0.3966097676623994
25,coex_HRA,17,34,-0.2646858743497398
26,coex_PRS,17,31,-0.3821860659157281
27,coex_ATA,15,30,-0.3627705627705624
28,coex_FIB,18,30,-0.1924268362272763
29,coex_BRC,18,36,-0.35916442048517494
30,coex_ATT,15,30,-0.22096332785987993
31,coex_TNV,8,14,-0.6517857142857144
32,coex_SPL,26,32,-0.07754476127320964
33,coex_LCL,14,27,-0.32499999999999996
34,coex_CLS,20,34,-0.5057817998994472
35,coex_EMC,21,33,-0.32227032227032226
36,coex_CLT,23,32,-0.23735177865612633
37,coex_core,21,37,-0.3500000000000001
38,coex_WBL,21,30,-0.2866666666666666
39,co-essential,16,20,-0.30740740740740735
40,GOBP,8,9,0.7142857142857144
41,ppi,49,50,-0.051154401154401175
42,reactome_copathway,28,31,-0.2614336917562725
43,MP,12,10,0.3598484848484853
44,HP,27,30,-0.07690058479532169
45,GI_net,21,35,-0.30952380952380953
46,gene_gene_on_CbG_name_mapped,17,22,-0.27005347593582885
47,gene_gene_on_GcG_name_mapped,29,34,-0.2431259860265944
48,GOMF,6,4,
