,Layer,Celiac_disease nodes,Alcohol_dependence nodes,sAB
0,coex_KDN,32,12,0.4195075757575759
1,coex_BST,17,7,0.41701680672268915
2,coex_OVR,23,11,-0.09637293652638901
3,coex_LNG,28,13,0.589922272849102
4,coex_ITI,29,20,0.4813863476425053
5,coex_VGN,21,18,0.18956043956043933
6,coex_HRV,14,7,-0.059523809523809756
7,coex_MSG,28,14,0.005952380952380709
8,coex_ADV,18,9,-0.04629629629629628
9,coex_EMS,21,10,0.375
10,coex_SMU,17,4,0.11249999999999982
11,coex_ARG,14,11,0.7893939393939395
12,coex_TST,23,18,0.09446800989749038
13,coex_PIT,21,12,0.152056277056277
14,coex_LVR,21,9,0.20317460317460334
15,coex_THY,23,8,0.622983870967742
16,coex_PNC,22,8,0.07461001642036091
17,coex_ATC,24,7,0.3040514592933947
18,coex_BRO,24,20,0.6287878787878785
19,coex_SKN,21,9,-0.03809523809523796
20,coex_ADS,19,6,0.6633333333333331
21,coex_GEJ,22,10,0.1969696969696968
22,coex_BRB,16,15,0.0942876344086021
23,coex_UTR,12,9,-0.12301587301587302
24,coex_STM,27,15,0.2021164021164017
25,coex_HRA,18,6,0.4027777777777777
26,coex_PRS,23,9,0.3270531400966181
27,coex_ATA,26,6,0.704962779156328
28,coex_FIB,17,5,0.34705882352941186
29,coex_BRC,20,15,-0.20833333333333304
30,coex_ATT,22,9,-0.020364939719778707
31,coex_TNV,17,9,-0.5169444444444444
32,coex_SPL,31,9,0.41227598566308243
33,coex_LCL,16,4,-0.20000000000000018
34,coex_CLS,21,13,0.2142857142857144
35,coex_EMC,26,8,0.07451923076923084
36,coex_CLT,23,13,0.3086213303604608
37,coex_core,34,13,0.4231601731601735
38,coex_WBL,29,10,0.4302631578947369
39,co-essential,5,3,1.0666666666666664
40,GOBP,18,22,2.429214929214929
41,ppi,49,47,0.22950589810392263
42,reactome_copathway,19,10,1.1603688708951867
43,MP,15,15,0.7974358974358977
44,HP,26,10,0.5570818070818069
45,GI_net,15,12,-0.12701298701298702
46,gene_gene_on_CbG_name_mapped,11,26,0.5422415422415423
47,gene_gene_on_GcG_name_mapped,30,27,0.014132553606237774
48,GOMF,15,9,
