,Layer,Arthralgia nodes,Myalgia nodes,sAB
0,coex_KDN,33,38,-0.21419211419211415
1,coex_BST,18,29,-0.4997541569819415
2,coex_OVR,22,31,-0.46627565982404695
3,coex_LNG,28,36,-0.34895833333333304
4,coex_ITI,29,37,-0.20052811432121787
5,coex_VGN,22,33,-0.16666666666666674
6,coex_HRV,18,22,0.2654007177033493
7,coex_MSG,26,41,-0.08244658508582803
8,coex_ADV,22,31,-0.3271889400921655
9,coex_EMS,19,36,-0.4612642717905877
10,coex_SMU,16,38,-0.09691764132553571
11,coex_ARG,18,32,-0.36729066626650675
12,coex_TST,24,39,-0.13927045177045194
13,coex_PIT,23,35,-0.2367102163204109
14,coex_LVR,25,29,-0.6146172196920408
15,coex_THY,23,33,-0.24597332015810291
16,coex_PNC,19,27,-0.2151453513009578
17,coex_ATC,25,39,-0.32457654547416115
18,coex_BRO,24,35,-0.22255851493139622
19,coex_SKN,22,36,-0.15573841866945326
20,coex_ADS,21,28,-0.37896825396825395
21,coex_GEJ,15,33,-0.30997340425531883
22,coex_BRB,19,22,-0.6983159117305457
23,coex_UTR,15,33,-0.44497282608695654
24,coex_STM,26,36,-0.21467303188614673
25,coex_HRA,17,35,-0.4949256625727212
26,coex_PRS,19,37,-0.09432159432159404
27,coex_ATA,22,30,-0.34075542442682405
28,coex_FIB,16,30,0.1295454545454544
29,coex_BRC,20,32,-0.10211891208096113
30,coex_ATT,17,34,-0.20199643493761155
31,coex_TNV,16,14,-0.4023809523809523
32,coex_SPL,26,34,-0.20829562594268447
33,coex_LCL,11,24,-0.1661796536796536
34,coex_CLS,26,34,-0.10630753427363593
35,coex_EMC,28,38,-0.0934723171565277
36,coex_CLT,26,36,-0.03808100289296057
37,coex_core,28,39,-0.18203624733475476
38,coex_WBL,26,35,-0.03953712632594031
39,co-essential,3,10,-0.25
40,GOBP,21,18,-0.6887387387387385
41,ppi,49,50,-0.15158524015666885
42,reactome_copathway,21,18,0.5098684210526319
43,MP,19,13,0.3012874929258631
44,HP,45,49,0.1686399382448014
45,GI_net,12,23,-0.551298701298701
46,gene_gene_on_CbG_name_mapped,6,7,-0.3974358974358978
47,gene_gene_on_GcG_name_mapped,25,24,-0.5260204081632653
48,GOMF,7,4,-0.5
