,Layer,Adrenogenital_syndrome nodes,Immunodeficiency nodes,sAB
0,coex_KDN,33,34,0.552105781254157
1,coex_BST,26,13,0.583333333333333
2,coex_OVR,33,13,0.15441535208977086
3,coex_LNG,28,26,0.7383962264150941
4,coex_ITI,31,35,0.22146348275380512
5,coex_VGN,30,19,0.4388888888888889
6,coex_HRV,10,8,-0.2378151260504202
7,coex_MSG,33,18,0.2355912061794414
8,coex_ADV,25,17,1.0720121951219515
9,coex_EMS,24,11,0.36996753246753267
10,coex_SMU,25,10,0.8842857142857139
11,coex_ARG,32,8,0.4197031853281854
12,coex_TST,37,19,0.18388030888030915
13,coex_PIT,32,13,0.11818910256410264
14,coex_LVR,27,16,0.8157030577088715
15,coex_THY,22,32,0.7737370663420569
16,coex_PNC,24,11,0.4845588235294116
17,coex_ATC,29,22,0.42650132153174747
18,coex_BRO,27,12,0.15990028490028507
19,coex_SKN,33,14,0.3331491203831627
20,coex_ADS,20,15,0.7430672268907563
21,coex_GEJ,28,17,0.7870370370370372
22,coex_BRB,15,11,0.29020979020979043
23,coex_UTR,24,10,-0.1129901960784312
24,coex_STM,30,17,0.8390070921985817
25,coex_HRA,31,8,0.30757168458781337
26,coex_PRS,25,17,0.8915966386554617
27,coex_ATA,29,16,0.23771551724137918
28,coex_FIB,24,7,0.26123271889400934
29,coex_BRC,27,11,0.33554846712741426
30,coex_ATT,31,13,0.22261904761904772
31,coex_TNV,18,12,0.941742081447964
32,coex_SPL,25,32,1.0900986842105262
33,coex_LCL,24,13,0.27840909090909083
34,coex_CLS,24,22,0.6567460317460316
35,coex_EMC,29,26,0.7629222629222627
36,coex_CLT,28,28,0.625
37,coex_core,32,35,0.7630869552121924
38,coex_WBL,28,31,0.8237327188940091
39,co-essential,14,3,0.4915966386554622
40,GOBP,31,29,1.9661957973153426
41,ppi,49,49,0.5408163265306121
42,reactome_copathway,16,23,1.7099462365591398
43,MP,11,17,1.7935446906035146
44,HP,44,50,0.31610251450676996
45,GI_net,20,15,0.1773809523809522
46,gene_gene_on_CbG_name_mapped,17,4,0.44817927170868366
47,gene_gene_on_GcG_name_mapped,28,30,0.17144249512670573
48,GOMF,8,6,
