,Layer,Dyspareunia nodes,Ascites nodes,sAB
0,coex_KDN,37,44,0.026788151788151637
1,coex_BST,19,34,-0.1625127334465195
2,coex_OVR,24,29,0.014557579700715806
3,coex_LNG,29,32,-0.012180257207461853
4,coex_ITI,30,37,0.10777195105553306
5,coex_VGN,26,32,0.004516129032257954
6,coex_HRV,21,15,-0.2928571428571427
7,coex_MSG,28,39,-0.08925154447542494
8,coex_ADV,18,28,-0.10000000000000009
9,coex_EMS,21,31,-0.17478991596638682
10,coex_SMU,24,27,-0.07339774557165857
11,coex_ARG,19,26,0.08313908313908325
12,coex_TST,29,39,0.0393067041140065
13,coex_PIT,28,34,-0.1831649831649831
14,coex_LVR,22,31,0.13315442925911603
15,coex_THY,28,30,-0.13163296171463168
16,coex_PNC,21,33,0.27750206782464826
17,coex_ATC,29,35,-0.11686182669789225
18,coex_BRO,30,28,-0.023260073260073177
19,coex_SKN,23,35,0.07425572927821777
20,coex_ADS,21,23,-0.07359307359307365
21,coex_GEJ,18,29,-0.27710524170538875
22,coex_BRB,25,20,-0.0829974160206719
23,coex_UTR,12,26,0.08670715249662653
24,coex_STM,31,38,0.04905145050564719
25,coex_HRA,24,29,0.026282259813489528
26,coex_PRS,24,29,0.1437728937728937
27,coex_ATA,26,28,-0.08687331536388143
28,coex_FIB,15,28,0.25573089700996654
29,coex_BRC,21,28,-0.0969387755102038
30,coex_ATT,22,30,-0.051217038539553617
31,coex_TNV,18,13,-0.19583768721699757
32,coex_SPL,26,37,-0.0850220567962503
33,coex_LCL,19,29,-0.3905279503105592
34,coex_CLS,23,29,-0.04722638680659674
35,coex_EMC,29,38,-0.2281746031746028
36,coex_CLT,29,32,-0.0013533555802744957
37,coex_core,29,38,0.06073314694004339
38,coex_WBL,28,33,0.14323859200908395
39,co-essential,7,10,0.036706349206348854
40,GOBP,15,29,1.327635327635328
41,ppi,50,49,0.0098289012574726
42,reactome_copathway,20,18,0.19999999999999996
43,MP,12,12,-0.5074110671936758
44,HP,43,43,0.3156146179401993
45,GI_net,22,23,-0.447727272727273
46,gene_gene_on_CbG_name_mapped,3,10,-0.09358974358974348
47,gene_gene_on_GcG_name_mapped,33,32,-0.20041520979020988
48,GOMF,14,4,
