,Layer,Cholangitis nodes,Otitis_media nodes,sAB
0,coex_KDN,38,35,-0.21970935309791972
1,coex_BST,20,27,-0.2251196172248804
2,coex_OVR,25,32,-0.48619517543859625
3,coex_LNG,29,43,-0.20515535070890456
4,coex_ITI,36,32,-0.240093954248366
5,coex_VGN,27,30,-0.1474658869395713
6,coex_HRV,22,21,-0.3522601429578174
7,coex_MSG,32,42,-0.39986531072502496
8,coex_ADV,25,29,-0.2774725274725274
9,coex_EMS,22,27,-0.7503306878306879
10,coex_SMU,26,27,-0.25840455840455845
11,coex_ARG,21,21,-0.4761904761904763
12,coex_TST,31,35,0.06799329702555501
13,coex_PIT,29,36,0.0667520054616828
14,coex_LVR,30,32,-0.2553427419354837
15,coex_THY,26,32,-0.2911555039787799
16,coex_PNC,26,27,-0.21153846153846145
17,coex_ATC,25,34,-0.11481575388776188
18,coex_BRO,26,35,-0.35701357466063355
19,coex_SKN,26,31,0.0006060606060604989
20,coex_ADS,27,30,-0.37189662189662176
21,coex_GEJ,28,35,-0.5834625752372511
22,coex_BRB,22,30,-0.3997172536726288
23,coex_UTR,17,19,-0.32049486461251186
24,coex_STM,31,33,-0.2610887096774195
25,coex_HRA,23,26,0.0388721862473016
26,coex_PRS,25,34,-0.21839080459770144
27,coex_ATA,21,31,-0.28053221288515395
28,coex_FIB,18,24,-0.02845268542199486
29,coex_BRC,28,29,-0.18399927020616635
30,coex_ATT,22,29,-0.23356790992258958
31,coex_TNV,17,22,-0.5310228986699572
32,coex_SPL,33,31,-0.4543774437927661
33,coex_LCL,14,19,-0.40575396825396837
34,coex_CLS,31,30,-0.2709234365867914
35,coex_EMC,24,33,-0.3255582137161086
36,coex_CLT,30,33,-0.29761904761904745
37,coex_core,35,36,-0.18811959566435266
38,coex_WBL,26,30,-0.12309523809523815
39,co-essential,9,8,-1.0049019607843142
40,GOBP,21,14,0.38866396761133615
41,ppi,48,49,-0.17383976786590916
42,reactome_copathway,23,26,0.1853679653679654
43,MP,11,14,-0.17976190476190457
44,HP,33,35,-0.24002314630058263
45,GI_net,22,26,-0.5216857610474632
46,gene_gene_on_CbG_name_mapped,14,8,0.09740259740259738
47,gene_gene_on_GcG_name_mapped,28,26,-0.11111111111111116
48,GOMF,4,6,
