,Layer,Prostate_neoplasm nodes,Head_and_neck_cancer nodes,sAB
0,coex_KDN,26,40,-0.26025641025641
1,coex_BST,17,29,-0.33450921598024497
2,coex_OVR,20,34,-0.3075708061002176
3,coex_LNG,26,38,-0.20483299595141702
4,coex_ITI,26,35,-0.38529994595568384
5,coex_VGN,22,39,-0.2322690970231951
6,coex_HRV,12,16,-0.7719907407407409
7,coex_MSG,26,40,-0.11535547785547795
8,coex_ADV,18,22,-0.6542929292929291
9,coex_EMS,20,28,-0.4565476190476192
10,coex_SMU,19,24,-0.4296970624235006
11,coex_ARG,18,30,-0.4116765146838346
12,coex_TST,28,36,-0.1741071428571428
13,coex_PIT,20,31,-0.41059422750424446
14,coex_LVR,24,36,-0.2402777777777776
15,coex_THY,22,36,-0.19772157666894508
16,coex_PNC,17,32,-0.15806947779111624
17,coex_ATC,22,32,-0.40387594754606315
18,coex_BRO,19,32,-0.040416666666666545
19,coex_SKN,20,36,-0.1869047619047619
20,coex_ADS,23,25,-0.39650786308973185
21,coex_GEJ,20,34,-0.4178550207961975
22,coex_BRB,13,26,0.26282051282051233
23,coex_UTR,14,25,-0.2953049203049205
24,coex_STM,25,38,-0.34909774436090224
25,coex_HRA,19,28,-0.31101023836186226
26,coex_PRS,24,28,-0.30710327609304566
27,coex_ATA,21,26,-0.5383333333333331
28,coex_FIB,18,31,-0.5685022945348353
29,coex_BRC,19,33,0.00683965157649391
30,coex_ATT,19,32,-0.13790760869565233
31,coex_TNV,12,19,-0.4972135144548937
32,coex_SPL,21,35,-0.40476190476190466
33,coex_LCL,17,26,-0.41094434021263293
34,coex_CLS,25,35,-0.3728078817733993
35,coex_EMC,22,36,-0.19380268853953075
36,coex_CLT,26,35,-0.18850448654037888
37,coex_core,26,35,-0.251131221719457
38,coex_WBL,23,32,-0.43911505332239553
39,co-essential,13,22,-0.10345389377647463
40,GOBP,12,12,0.4234848484848488
41,ppi,50,50,0.020000000000000018
42,reactome_copathway,27,27,0.22784313725490213
43,MP,4,11,2.041666666666667
44,HP,24,39,-0.03504623791509043
45,GI_net,23,32,-0.28133646245059296
46,gene_gene_on_CbG_name_mapped,18,19,-0.15797376323692114
47,gene_gene_on_GcG_name_mapped,25,35,-0.1204761904761904
48,GOMF,4,7,
