,Layer,Basal_cell_carcinoma nodes,Macular_degeneration nodes,sAB
0,coex_KDN,43,31,0.23306502301250998
1,coex_BST,40,19,-0.043989741302408625
2,coex_OVR,38,26,0.035052348613469064
3,coex_LNG,41,27,0.33714596949891096
4,coex_ITI,40,33,0.115478414279784
5,coex_VGN,41,29,0.0417234762409735
6,coex_HRV,19,15,0.3113970588235295
7,coex_MSG,45,31,0.010167892850405424
8,coex_ADV,35,23,0.1426429642321696
9,coex_EMS,39,24,0.03861416361416348
10,coex_SMU,35,23,0.13497536945812794
11,coex_ARG,37,23,0.00040603006704698075
12,coex_TST,40,34,0.05224562798092203
13,coex_PIT,38,29,0.06091367120838642
14,coex_LVR,35,29,0.1776016009852217
15,coex_THY,31,22,0.14593837535014043
16,coex_PNC,36,25,0.04027777777777741
17,coex_ATC,39,26,0.28076923076923066
18,coex_BRO,44,28,-0.05711824781592201
19,coex_SKN,42,29,-0.10274289414648807
20,coex_ADS,30,24,0.18869504323468478
21,coex_GEJ,36,23,0.06432748538011701
22,coex_BRB,22,19,0.19958571595285335
23,coex_UTR,38,19,-0.030701754385964897
24,coex_STM,38,24,0.2124009620826257
25,coex_HRA,37,26,0.0833129904097647
26,coex_PRS,41,25,0.11743277048155054
27,coex_ATA,35,22,0.3744270435446908
28,coex_FIB,40,22,0.09583333333333321
29,coex_BRC,40,28,0.05657131011608607
30,coex_ATT,38,24,0.29198500282965467
31,coex_TNV,21,15,0.28109243697479025
32,coex_SPL,35,27,0.150520566649599
33,coex_LCL,33,15,0.2980798771121351
34,coex_CLS,38,29,0.19687359424201523
35,coex_EMC,40,26,0.10623543123543122
36,coex_CLT,38,31,0.19687015575404132
37,coex_core,42,32,0.047222222222222276
38,coex_WBL,32,26,0.049954290191981165
39,co-essential,17,7,0.33823529411764675
40,GOBP,16,20,1.6714138286893707
41,ppi,50,49,0.3215543186971759
42,reactome_copathway,27,6,0.5658602150537635
43,MP,12,24,1.5138888888888884
44,HP,40,43,0.37692981227234523
45,GI_net,31,15,0.20224403927068724
46,gene_gene_on_CbG_name_mapped,5,9,0.08253968253968269
47,gene_gene_on_GcG_name_mapped,37,33,-0.0746343746343745
48,GOMF,5,7,
